,ID,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,CT00001,Akaroa,-43.526945,172.632377,22,21,21,22,22,20,20,20,19,19,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CT00002,Akitio,-40.6,176.417,12,13,12,12,12,12,12,11,10,11,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,6,6,6,6,6,4,4,4,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CT00003,Amuri,-42.50480809,173.0221142,20,19,19,19,19,18,17,18,17,17,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CT00004,Ashburton,-43.89834,171.73011,139,134,133,137,137,126,123,125,119,118,110,102,99,99,99,99,99,92,88,88,88,88,86,86,86,86,86,89,90,90,90,90,88,89,89,89,89,79,80,80,80,80,63,64,64,64,64,52,52,52,52,52,36,36,36,36,36,30,30,30,30,30,25,25,25,25,25,17,17,17,17,17,13,13,14,14,14,8,8,8,8,8,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4,CT00005,Ashley,-43.3034,172.5914,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CT00006,Awakino,-38.65,174.633,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CT00007,Awatere,-41.88419888,173.6366844,18,18,16,17,17,17,16,16,14,14,14,13,12,12,12,12,12,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CT00008,Bay of Islands,-35.2,174.166667,47,48,46,49,45,46,44,41,40,39,38,36,35,33,33,33,33,32,30,30,30,30,29,28,28,28,28,30,30,30,30,30,30,31,31,31,31,27,28,28,28,28,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CT00009,Bruce,-46.116667,169.966667,51,51,51,48,54,50,49,50,47,48,47,45,44,40,40,40,40,37,33,33,33,33,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,33,33,33,33,33,28,28,28,28,28,24,24,24,24,24,17,17,17,17,17,13,13,13,14,14,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,CT00010,Buller,-41.813,171.793,50,56,50,52,62,52,52,48,62,48,49,49,40,36,36,36,36,39,38,38,38,38,30,30,30,31,31,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,33,33,33,33,33,24,24,24,24,24,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,11,12,12,12,12,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
10,CT00011,Castlepoint,-40.9,176.21667,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CT00012,Cheviot,-42.81212,173.2736762,14,13,13,13,13,12,12,12,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CT00013,Clifton,-38.995833,174.233056,25,26,25,23,25,23,23,23,22,21,20,18,19,18,18,18,18,17,16,16,16,16,15,14,14,15,15,15,15,15,15,15,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CT00014,Clutha,-46.233333,169.75,77,77,77,72,81,76,74,76,71,73,71,68,67,61,61,61,61,56,51,50,51,51,48,48,48,48,48,48,48,49,49,49,52,53,53,53,53,50,51,51,51,51,43,43,43,43,43,36,36,36,36,36,25,25,25,25,25,20,20,20,21,21,18,18,18,18,18,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
14,CT00015,Collingwood,-40.677222,172.682778,10,11,11,11,11,12,10,11,10,10,9,9,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CT00016,Cook,-38.6623,178.0176,81,78,79,71,67,70,63,62,58,70,54,41,52,58,58,58,58,52,48,48,48,48,51,51,51,51,51,49,49,49,49,49,50,50,50,50,50,46,46,46,45,45,32,32,32,32,32,31,31,31,31,31,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,CT00017,Coromandel,-36.761287,175.4981278,25,25,24,26,24,24,23,22,21,21,20,19,18,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,15,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CT00018,Dannevirke,-40.205303,176.100311,56,58,55,55,53,52,52,51,46,49,45,41,40,40,40,40,40,39,37,36,36,36,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,34,34,34,34,34,26,26,26,26,26,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CT00019,East Taupo,-38.68333,176.08333,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CT00020,Eden,-36.88158,174.76204,185,186,177,189,176,179,170,161,154,153,148,139,136,127,127,128,128,126,116,115,116,116,112,110,109,110,110,115,117,117,117,117,118,120,120,120,120,105,107,107,107,107,82,83,83,83,83,65,66,66,66,66,46,46,46,46,46,35,35,35,36,36,25,26,26,26,26,16,17,17,17,17,12,12,13,13,13,8,8,8,7,7,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
20,CT00021,Egmont,-39.453736,173.854185,40,42,39,38,39,37,37,36,35,34,32,30,30,29,29,29,29,27,26,25,25,25,23,23,23,23,23,24,25,25,25,25,23,23,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,6,7,7,7,7,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CT00022,Eketahuna,-40.6461889,175.7041691,24,24,23,23,22,22,22,21,20,21,19,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,14,14,14,14,14,11,11,11,11,11,8,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CT00023,Ellesmere,-43.8,172.416667,45,44,43,44,44,41,40,41,39,39,36,33,32,32,32,32,32,30,29,29,29,29,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,26,26,26,26,26,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CT00024,Eltham,-39.429722,174.299167,44,46,43,41,43,41,40,40,38,37,35,32,33,32,32,32,32,29,28,28,28,28,26,25,25,25,25,27,27,27,27,27,25,26,26,26,26,22,22,22,22,22,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CT00025,Eyre,-43.3049,172.5967,24,23,23,23,23,22,21,21,20,20,19,18,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CT00026,Featherston,-41.11687066,175.3257958,38,39,37,37,36,35,35,34,32,33,31,28,27,27,27,27,27,26,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,23,23,23,23,23,18,18,18,18,18,14,14,14,14,14,10,10,10,10,10,7,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CT00027,Fiord,-45.4,167.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CT00028,Franklin,-37.201744,174.90514,112,113,107,114,107,108,103,97,93,93,89,84,82,77,77,77,77,76,70,70,70,70,68,67,66,67,67,70,71,71,71,71,71,72,73,73,73,64,65,65,65,65,50,50,50,50,50,39,40,40,40,40,28,28,28,28,28,21,21,21,22,22,15,16,16,16,16,10,10,10,10,10,7,7,8,8,8,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
28,CT00029,Geraldine,-44.09061,171.24458,70,68,67,69,69,64,62,63,60,60,56,52,50,50,50,50,50,46,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,40,40,40,40,40,32,32,32,32,32,26,26,27,27,27,18,18,18,18,18,15,15,15,15,15,12,13,13,13,13,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
29,CT00030,Grey,-42.546,171.606,48,54,48,50,60,50,51,46,60,47,47,47,39,35,35,35,35,38,37,37,37,37,29,29,29,29,29,36,36,36,36,36,35,35,35,35,35,38,38,38,38,38,32,32,32,32,32,23,23,23,23,23,16,16,16,16,16,11,11,11,11,11,12,12,12,12,12,8,8,8,8,8,11,11,11,11,11,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0
30,CT00031,Halswell,-43.583,172.567,23,23,22,23,23,21,21,21,20,20,18,17,17,17,17,17,17,15,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CT00032,Hauraki Plains,-37.279927,174.492897,39,40,38,40,38,38,36,34,33,33,32,30,29,27,27,27,27,27,25,25,25,25,24,24,23,24,24,25,25,25,25,25,25,26,26,26,26,23,23,23,23,23,18,18,18,18,18,14,14,14,14,14,10,10,10,10,10,7,8,8,8,8,5,6,6,6,6,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CT00033,Hawera,-39.59167,174.28333,66,69,65,62,65,61,61,60,57,57,54,49,50,48,48,48,48,44,42,42,42,42,39,38,38,38,38,40,41,41,41,41,38,39,39,39,39,33,34,34,34,34,26,26,26,26,26,19,19,19,19,19,13,13,13,13,13,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CT00034,Hawke's Bay,-39.483,176.917,149,143,146,129,124,128,115,114,107,128,99,76,96,106,106,106,106,95,88,88,88,88,94,94,94,94,94,89,89,89,89,89,91,91,91,91,91,83,84,84,83,83,59,59,59,59,59,57,57,57,57,57,41,41,41,41,41,29,30,30,30,30,24,24,24,24,24,19,19,19,19,19,15,15,15,15,15,7,7,7,7,7,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
34,CT00035,Heathcote,-43.583,172.716638,56,54,54,55,55,51,50,51,48,48,45,42,40,40,40,40,40,37,36,36,36,36,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,32,32,32,32,32,26,26,26,26,26,21,21,21,21,21,14,14,14,14,14,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,5,5,5,6,6,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CT00036,Hobson,-35.9396,173.8726,53,54,51,55,51,52,49,46,44,44,43,40,39,37,37,37,37,36,34,33,33,33,32,32,32,32,32,33,34,34,34,34,34,34,35,35,35,30,31,31,31,31,24,24,24,24,24,19,19,19,19,19,13,13,13,13,13,10,10,10,10,10,7,7,7,8,8,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CT00037,Hokianga,-35.5258,173.3786,31,31,30,32,30,30,29,27,26,26,25,23,23,21,22,22,22,21,20,19,20,20,19,19,18,19,19,19,20,20,20,20,20,20,20,20,20,18,18,18,18,18,14,14,14,14,14,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CT00038,Horowhenua,-40.57733,175.38071,67,68,65,65,62,62,62,60,55,58,53,49,48,47,47,47,47,46,43,43,43,43,42,41,41,41,41,44,44,44,44,44,44,44,44,44,44,40,41,41,41,41,31,31,31,31,31,24,24,24,24,24,18,18,18,18,18,13,13,13,13,13,10,11,11,11,11,7,7,8,8,8,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CT00039,Hutt,-41.209164,174.908051,81,83,79,79,76,75,75,73,67,70,65,59,58,57,57,57,57,56,52,52,52,52,50,50,50,50,50,53,53,53,53,53,53,53,54,54,54,49,49,49,49,49,37,37,37,37,37,29,29,29,29,29,21,22,22,21,21,16,16,16,16,16,13,13,13,13,13,9,9,9,9,9,6,6,6,6,6,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CT00040,Inangahua,-41.85724663,171.9298009,32,36,32,33,40,33,33,31,39,31,31,31,25,23,23,23,23,25,24,24,24,24,19,19,19,19,19,24,24,24,24,24,23,23,23,23,23,25,25,25,25,25,21,21,21,21,21,15,15,15,15,15,11,11,11,11,11,7,7,7,7,7,8,8,8,8,8,5,5,5,5,5,7,7,7,7,7,6,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
40,CT00041,Inglewood,-39.1499994,174.1999992,41,43,40,38,40,38,38,37,35,35,33,30,31,29,29,30,30,27,26,26,26,26,24,24,24,24,24,25,25,25,25,25,24,24,24,24,24,20,21,21,21,21,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,3,4,4,4,4,2,2,2,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CT00042,Kaikoura,-42.41667,173.68333,24,23,23,24,24,22,21,22,21,21,19,18,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,CT00043,Kairanga,-40.34807006,175.5318268,57,58,56,56,53,53,53,51,47,50,46,42,41,40,40,41,41,39,37,37,37,37,36,35,35,35,35,37,38,38,38,38,37,38,38,38,38,34,35,35,35,35,26,26,26,26,26,20,21,21,21,21,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,CT00044,Kaitieke,-39.10051591,175.2629136,33,34,32,31,32,30,30,30,28,28,26,24,25,24,24,24,24,22,21,21,21,21,19,19,19,19,19,20,20,20,20,20,19,19,19,19,19,16,17,17,17,17,13,13,13,13,13,9,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CT00045,Kawhia,-38.06504443,174.8200746,11,11,10,11,10,10,10,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CT00046,Kiwitea,-40.10857,175.71552,27,27,26,26,25,25,25,24,22,23,21,19,19,19,19,19,19,18,17,17,17,17,17,16,16,16,16,17,18,18,18,18,17,18,18,18,18,16,16,16,16,16,12,12,12,12,12,9,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,CT00047,Kowai,-43.2097,172.6956,25,24,24,24,24,22,22,22,21,21,20,18,18,18,18,18,18,16,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CT00048,Lake,-44.83281,168.50304,18,20,18,19,19,18,18,18,17,17,17,15,16,14,14,14,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
