page,electoral_district,locality,venue_type,entry_raw
1,Unknown,among,Other,"Wes by the Legislature Act, 1908, it is, among"
1,Unknown,enacted that the Governor-General may,Other,"other things, enacted that the Governor-General may"
1,Unknown,and abolish polling-places,Other,"from time to time appoint, alter, and abolish polling-places"
1,Unknown,and do here,Other,"various electoral districts in the said Dominion, and do here"
1,Bay Of Islands,Kawakawa,Council Chambers,"The County Council Chambers, Kawakawa (principal)"
1,Bay Of Islands,Russell,Courthouse,"The Courthouse, Russell"
1,Bay Of Islands,Towai,Public Hall,"The Public Hall, Towai"
1,Bay Of Islands,Tapuhi,Public Hall,"The Public Hall, Tapuhi"
1,Bay Of Islands,Ohacawai,Public Hall,"The Public Hall, Ohacawai"
1,Bay Of Islands,Okaihau,Other,"The Public Hail, Okaihau"
1,Bay Of Islands,Hukerenui,Public School,"The Public School, Hukerenui"
1,Bay Of Islands,Whakapara,Public Hall,"The Public Hall, Whakapara"
1,Bay Of Islands,Hikurangi,Public School,"The Public School, Hikurangi"
1,Bay Of Islands,Kaeo,Public Hall,"The Public Hall, Kaeo"
1,Bay Of Islands,Whangaroa,Courthouse,"The Courthouse, Whangaroa"
1,Bay Of Islands,Mangonui,Courthouse,"The Courthouse, Mangonui"
1,Bay Of Islands,Oruru,Other,"The Peria Hal), Oruru"
1,Bay Of Islands,Fairburn’s,Public School,"The Public School, Fairburn’s"
1,Bay Of Islands,Awanui,Public Hall,"The Public Hall, Awanui"
1,Bay Of Islands,Kaitaia,Library,"The Public Library, Kaitaia"
1,Bay Of Islands,Ahipara,Courthouse,"The Courthouse, Ahipara"
1,Bay Of Islands,Hohoura,Public Hall,"The Public Hall, Hohoura"
1,Bay Of Islands,Waihopo,Other,"The Foresters’ Hall, Waihopo"
1,Bay Of Islands,Kohukohu,Courthouse,"The Courthouse, Kohukohu"
1,Bay Of Islands,Rawene,Courthouse,"The Courthouse, Rawene"
1,Bay Of Islands,Taheke,Public Hall,"The Public Hall, Taheke"
1,Bay Of Islands,Broadwood,Public Hall,"The Public Hall, Broadwood"
1,Bay Of Islands,Omapere,Public Hall,"The Public Hall, Omapere"
1,Bay Of Islands,Waimamaku,Public Hall,"The Public Hall, Waimamaku"
1,Bay Of Islands,Whangape,Other,"The Company’s Office, Whangape"
1,Bay Of Islands,Herekino,Public Hall,"The Public Hall, Herekino"
1,Marsden,Whangarei,Town Hall,"The Town Hall, Whangarei (principal)"
1,Marsden,Kamo,Public School,"The Public School, Kamo"
1,Marsden,Kiripaka,Public School,"The Public School, Kiripaka"
1,Marsden,Whareora,Public Hall,"The Public Hall, Whareora"
1,Marsden,Parua Bay,Public Hall,"The Public Hall, Parua Bay"
1,Marsden,Onerahi,Public Hall,"The Public Hall, Onerahi"
1,Marsden,Mangapai,Public School,"The Public School, Mangapai"
1,Marsden,Otaika,Public School,"The Public School, Otaika"
1,Marsden,Maunu,Public School,"The Public School, Maunu"
1,Marsden,Kara,School,"The Publhc School, Kara"
1,Marsden,Poroti,Public School,"The Public School, Poroti"
1,Marsden,Waikiekie,Public School,"The Public School, Waikiekie"
1,Marsden,Mareretu,Public School,"The Public School, Mareretu"
1,Marsden,Ruakaka,Public Hall,"The Public Hall, Ruakaka"
1,Marsden,Waipu,Courthouse,"The Courthouse, Waipu"
1,Marsden,Mangawai,Public Hall,"The Public Hall, Mangawai"
1,Marsden,Te Arai,Public School,"The Public School, Te Arai"
1,Marsden,Pakiri,Public School,"The Public School, Pakiri"
2,Marsden,Leigh,Public Hall,"The Public Hall, Leigh"
2,Marsden,Whangateau,Public Hall,"The Public Hall, Whangateau"
2,Marsden,Matakana,Public School,"The Public School, Matakana"
2,Marsden,Kaiwaka,Public School,"The Public School, Kaiwaka"
2,Marsden,Wellsford,Public Hall,"The Public Hall, Wellsford"
2,Marsden,Warkworth,Town Hall,"The Town Hall, Warkworth"
2,Marsden,Puhoi,Town Hall,"The Town Hall, Puhoi"
2,Kaipara,Dargaville,Courthouse,"The Courthouse, Dargaville (principal)"
2,Kaipara,Aranga,Public School,"The Public School, Aranga"
2,Kaipara,Arapohue,Public Hall,"The Public Hall, Arapohue"
2,Kaipara,Aratapu,Public Hall,"The Public Hall, Aratapu"
2,Kaipara,Hoanga,Public Hall,"The Public Hall, Hoanga"
2,Kaipara,Hukatere,Public Hall,"The Public Hall, Hukatere"
2,Kaipara,Kaihu,Public Hall,"The Public Hall, Kaihu"
2,Kaipara,Kaipara Flats,Library,"The Library, Kaipara Flats"
2,Kaipara,Kaukapakapa,Public Hall,"The Public Hall, Kaukapakapa"
2,Kaipara,Kumeu,Public Hall,"The Public Hall, Kumeu"
2,Kaipara,Maropui,Other,"The Gumshed, Maropui"
2,Kaipara,Matakohe No. 1,Public Hall,"The Public Hall, Matakohe No. 1"
2,Kaipara,Naumai,Public School,"The Public School, Naumai"
2,Kaipara,Onetea,Public School,"The Public School, Onetea"
2,Kaipara,Pahi,Public Hall,"The Public Hall, Pahi"
2,Kaipara,Paparoa,Public Hall,"The Public Hall, Paparoa"
2,Kaipara,Port Albert,Other,"The Druids’ Hall, Port Albert"
2,Kaipara,Riverhead,Public School,"The Public School, Riverhead"
2,Kaipara,Ruawai,Public School,"The Public School, Ruawai"
2,Kaipara,Tangowahine,Public Hall,"The Public Hall, Tangowahine"
2,Kaipara,Tatarariki,Public Hall,"The Public Hall, Tatarariki"
2,Kaipara,Tutamoe,Public School,"The Public School, Tutamoe"
2,Kaipara,Waimauku,Public Hall,"The Public Hall, Waimauku"
2,Kaipara,Wellsford,Other,"The Shelter Shed, Wellsford"
2,Wattemata,Devonport,Hall,"The Masonic Hall, Devonport (principal)"
2,Wattemata,Albany,Hall,"The Cornation Hall, Albany"
2,Wattemata,Hobsonville,Post Office,"The Post-office, Hobsonville"
2,Wattemata,Henderson,Public Hall,"The Public Hall, Henderson"
2,Wattemata,Northcote,Hall,"The Masonic Hall, Northcote"
2,Wattemata,Silverdale,Public Hall,"The Public Hall, Silverdale"
2,Wattemata,Takapuna,Hall,"The Parish Hall, Takapuna"
2,Auckland East,Rutland Street,Drill Hall,"The Drill Hall, Rutland Street (principa!)"
2,Auckland West,Ponsonby Road,Other,"Britannia Picture Theatre, Ponsonby Road (principal)"
2,Auckland West,Mason’s Avenue,Other,"All Saints Mission Hall, Mason’s Avenue"
2,Auckland West,Newmarket,Public Hall,"The Public Hall, Newmarket (principal)"
2,Auckland West,corner Stokes and Mount,Other,"Room in Cucksey’s Buildings, corner Stokes and Mount"
2,Auckland West,Parnell,Other,"The late Billiard-room, 49 Manukau Road, Parnell"
2,Auckland West,corner of Carlton Road and,Other,"No. 2 Fire-brigade Station, corner of Carlton Road and"
2,Auckland West,Remuera Branch of the Auckland,Other,"The Committee- room, Remuera Branch of the Auckland"
2,Auckland West,Remuera Road,Other,"Public Library, Remuera Road"
2,Manukau,Onehunga,Other,"Public Hall, Onehunga (principal)"
2,Manukau,Harp of Erin,Other,"Public Hall, Harp of Erin"
2,Manukau,Otahuhu,Other,"Masonic Hall, Otahuhu"
2,Manukau,St,Other,"Fairy Bower Tea-rooms, St"
2,Manukau,Panmure,Other,"Public Hall, Panmure"
2,Manukau,Ellerslie,Other,"Parish Hall, Ellerslie"
2,Manukau,Epsom,Other,"Manukau Water-supply Office, Epsom"
2,Franklin,Pukekohe,Courthouse,"The Courthouse, Pukekohe (principal)"
2,Franklin,Patumahoe,Public Hall,"The Public Hall, Patumahoe"
2,Franklin,Waiuku,Public Hall,"The Public Hall, Waiuku"
2,Franklin,Waipipi,Public School,"The Public School, Waipipi"
2,Franklin,Kohekohe,Public School,"The Public School, Kohekohe"
2,Franklin,Bombay,Other,"The Public Halil, Bombay"
2,Franklin,Moumoukai. ~,Public School,"The Public School, Moumoukai. ~"
2,Franklin,Mataitai,Public School,"The Public School, Mataitai (Post Town, Clevedon)"
2,Franklin,Ararimu,School,"The Publie School, Ararimu"
2,Franklin,Orua Bay,Public School,"The Public School, Orua Bay"
2,Franklin,Runci,Public School,"The Public School (No. 2), Karaka (Post Town, Runci"
2,Franklin,Paparata,Public School,"The Public School, Paparata"
2,Franklin,Glenbrook,Public Hall,"The Public Hall, Glenbrook"
2,Franklin,Ramarama,Public Hall,"The Public Hall, Ramarama"
2,Franklin,Hunua,Public Hall,"The Public Hall, Hunua"
2,Franklin,Ponga,Public School,"The Public School, Ponga"
2,Franklin,Ardmore,Public Hall,"The Public Hall, Ardmore"
2,Franklin,Alfriston,Public Hall,"The Public Hall, Alfriston"
2,Franklin,Clevedon,Other,"Wairoa Public Ha)l, Clevedon"
2,Franklin,Drury,Public Hall,"The Public Hall, Drury"
2,Franklin,Howick,Public Hall,"The Public Hall, Howick"
2,Franklin,Mangere,Public Hall,"The Public Hall, Mangere"
2,Franklin,Manurewa,Public Hall,"The Public Hall, Manurewa"
2,Franklin,Maraetai,Public School,"The Public School, Maraetai"
2,Franklin,Otahuhu,Public Hall,"The Public Hall, Otahuhu"
2,Franklin,Papakura,Public Hall,"The Public Hall, Papakura"
2,Franklin,Pakuranga,Public School,"The Public School, Pakuranga"
2,Franklin,Tamaki East,Public Hall,"The Public Hall, Tamaki East"
2,Franklin,Turanga Creek,Public School,"The Public School, Turanga Creek (Post Town, Howick)"
2,Franklin,Papatoe,Other,"The Methodist Schoolhouse, Wiri (Post Town, Papatoe"
2,Franklin,Weymouth,Public School,"The Public School, Weymouth (Post Town, Manurewa)"
2,Franklin,Otaua,Public Hall,"The Public Hall, Otaua"
2,Raglan,Ngaruawahia,Public Hall,"The Public Hall, Ngaruawahia (principal)"
2,Raglan,Mercer,Courthouse,"The Courthouse, Mercer"
2,Raglan,Raglan,Courthouse,"The Courthouse, Raglan"
2,Raglan,Taupiri,Public School,"The Public School, Taupiri"
2,Raglan,Tuakau,Public Hall,"The Public Hall, Tuakau"
2,Raglan,Waingaro,Public Hall,"The Public Hall, Waingaro"
2,Raglan,Whatawhata,Public Hall,"The Public Hall, Whatawhata"
2,Thames,Thames,Courthouse,"The Courthouse, Thames (principal)"
2,Thames,Parawai,Public School,"The Public School, Parawai"
2,Thames,Tararu,Public School,"The Public School, Tararu"
2,Thames,Waiomio,Public School,"The Public School, Waiomio"
2,Thames,Tapu,Public School,"The Public School, Tapu"
2,Thames,Kerita,Public School,"The Public School, Wilson’s Bay, Kerita"
2,Thames,Kennedy’s Bay,Public School,"The Public School, Kennedy’s Bay"
2,Thames,Kuaotunu,Public Hall,"The Public Hall, Kuaotunu"
2,Thames,Whitianga,Courthouse,"The Courthouse, Whitianga"
3,Thames,Gumtown,Public School,"The Public School, Gumtown"
3,Thames,Te Teko,Public School,"The Public School, Te Teko"
3,Thames,Manawahe,Public School,"The Public School, Manawahe"
3,Thames,Roto-iti,Public School,"The Public School, Roto-iti"
3,Thames,Okere Falls,Other,"Golden Belt Gold-mining Company’s Shanty, Neaves- The Power-house, Okere Falls"
3,Thames,Wharepoa,Public School,"The Public School, Wharepoa"
3,Thames,Atiamuri,Post Office,"The Post-office, Atiamuri"
3,Thames,Wairakei,Schoolroom,"The Schoolroom, Wairakei"
3,Thames,Paengaroa,Public School,"The Public School, Paengaroa"
3,Thames,Ngatea,Public School,"The Public School, Ngatea"
3,Thames,Waitakaruru,Other,"Pinchess and Bird’s Shed, Waitakaruru"
3,Thames,Waimate Valley,Public Hall,"The Public Hall, Waimate Valley"
3,Thames,Maramarua,Public School,"The Public School, Maramarua"
3,Thames,Ormond,Public School,"The Public School, Ormond"
3,Thames,Te Kauwhata,Public School,"The Public School, Te Kauwhata"
3,Thames,Wheturau,Post Office,"The Post-office, Wheturau"
3,Thames,Waeronga,Public School,"The Public School, Waeronga"
3,Thames,Waikohu,Post Office,"The Post-office, Waikohu"
3,Thames,Matawai,Public School,"The Public School, Matawai"
3,Thames,Motu,Public School,"The Public School, Motu"
3,Tauranga,(Gis,Other,"Bruce and O’Brien’s Store, Wharekopae (Rere), (Gis"
3,Tauranga,Tauranga. borne),Hall,"The Coronation Hall, Tauranga (principal). borne)"
3,Tauranga,Whangara,Public School,"The Public School, Greerton. (prnepe’) The Public School, Whangara"
3,Tauranga,Oropi,Public School,"The Public School, Oropi"
3,Tauranga,Wigan,Public School,"The Public School, Wigan (Tolaga Bay)"
3,Tauranga,Ngawavo,Public School,"The Public School, Ngawavo"
3,Tauranga,Ngongotaha,Public School,"The Public School, Ngongotaha"
3,Tauranga,Tolaga Bay,Courthouse,"The Courthouse, Tolaga Bay"
3,Tauranga,Mamaku,Public School,"The Public School, Mamaku"
3,Tauranga,Mangatuna,Public School,"The Public School, Mangatuna (Tolaga Bay)"
3,Tauranga,Tirau,Public School,"The Public School, Tirau"
3,Tauranga,Waima,Other,"The New Zealand Shipping Company’s Store, Waima"
3,Tauranga,oroire Mr,Public School,"The Public School, Hinucra, oroire Mr"
3,Tauranga,Walton,Public School,"The Public School, Walton"
3,Tauranga,Shungia,Private dwelling,"The Homestead, Shungia (Waipiro Bay)"
3,Tauranga,Kiwitahi,Public School,"The Public School, Kiwitahi"
3,Tauranga,Tuparoa,Public School,"The Public School, Tuparoa"
3,Tauranga,Karapiro,Public School,"The Public School, Karapiro"
3,Tauranga,Waiorongomae,Public School,"The Public School, Waiorongomae (Tuparoa)"
3,Tauranga,Waihou,Public School,"The Public School, Waihou"
3,Tauranga,Te Aroha,Public School,"The Public School, Te Aroha"
3,Taumarunui,Te Aroha West,Public School,"The Public School, Te Aroha West"
3,Taumarunui,Manawaru,Public School,"The Public School, Manawaru"
3,Taumarunui,Brixton,Public School,"No. 2 Public School, Katikati. . ‘ ° The Public School, Brixton"
3,Taumarunui,Omokoroa,Public School,"The Public School, Omokoroa"
3,Taumarunui,Sentry Hill,Public School,"The Public School, Sentry Hill"
3,Taumarunui,Bethlehem,Public School,"The Public School, Bethlehem"
3,Taumarunui,Tikorangi,Public School,"The Public School, Tikorangi"
3,Taumarunui,Otumoetai,Public School,"The Public School, Otumoetai"
3,Taumarunui,Urenui,Public School,"The Public School, Urenui"
3,Taumarunui,Te Puke,Other,"The Orderly Room, Te Puke"
3,Taumarunui,Okoke,Public School,"The Public School, Okoke"
3,Taumarunui,Okau,Public School,"The Public School, Okau"
3,Waikato,Tongaporutu,Public School,"The Public School, Tongaporutu"
3,Waikato,Hamilton,Town Hall,"Town Hall, Hamilton (principal)"
3,Waikato,Mokau,Public School,"The Public School, Mokau"
3,Waikato,Awakino,Public School,"The Public School, Awakino"
3,Waikato,Kihikibi,Public Hall,"The Public Hall, Kihikibi"
3,Waikato,Parahika Valley,Public School,"The Public School, Parahika Valley (Aria)"
3,Waikato,Ohaupo,Public Hall,"The Public Hall, Ohaupo"
3,Waikato,Kaeaea,Public School,"The Public School, Kaeaea"
3,Waikato,Putaruru,Public School,"The Public School, Putaruru"
3,Waikato,Mairoa,Other,"iy The Public School, Mairoa"
3,Bay Of Plenty,Opotiki,Courthouse,"The Courthouse, Opotiki (principal)"
3,Bay Of Plenty,Toatoa,Post Office,"The Post-office, Toatoa"
3,Bay Of Plenty,Marokopa,Public School,"The Public School, Marokopa"
3,Bay Of Plenty,Te Kaha,Public School,"The Public School, Te Kaha"
3,Bay Of Plenty,Te Anga,Post Office,"The Post-office, Te Anga"
3,Bay Of Plenty,Cape Runaway,Other,"Williamson and Mathias’s Storeroom, Cape Runaway"
3,Bay Of Plenty,Waiharakeke,Post Office,"The Post-office, Waiharakeke"
3,Bay Of Plenty,Ohiwa,Post Office,"The Post-office, Ohiwa"
3,Bay Of Plenty,Te Rauamoa,Public School,"The Public School, Te Rauamoa"
3,Bay Of Plenty,Waimana,Public School,"The Public School, Waimana"
3,Bay Of Plenty,Waitomo,Other,"Green and Colebrook’s Store, Waitomo"
4,Bay Of Plenty,Kopaki,Other,"Green and Colebrook’s Store, Kopaki"
4,Bay Of Plenty,Pakowhai,Public School,"The Public School, Pakowhai"
4,Bay Of Plenty,Mokauiti,Public School,"The Public School, Mokauiti"
4,Bay Of Plenty,Napier,Public School,"The Public School, Matiere. : The Courthouse, Napier"
4,Bay Of Plenty,Shakespeare Road,Public School,"The Public School, Nihoniho. : The Shakespeare Boardinghouse, Shakespeare Road"
4,Bay Of Plenty,Ohura. ‘ Napier,Public School,"The Public School, Ohura. ‘ Napier"
4,Bay Of Plenty,Tatu,Public Hall,"The Public Hall, Tatu"
4,Bay Of Plenty,Puketapu. ‘,Public School,"The Public School, Puketapu. ‘"
4,Bay Of Plenty,Mahirakau,Other,"The Publi¢ School, Mahirakau"
4,Bay Of Plenty,Okahukura. ‘,Public School,"The Public School, Okahukura. ‘"
4,Bay Of Plenty,Tennyson Street,Public School,"The Public School, Taringamotu. : McGlashan’s Auction Mart, Tennyson Street"
4,Bay Of Plenty,Waituhi. °,Public School,"The Public School, Waituhi. °"
4,Bay Of Plenty,Taumarunui. ‘,Theatre,"The Theatre Royal, Taumarunui. ‘"
4,Watpawa,Otunui,Public School,"The Public School, Otunui"
4,Watpawa,Matamau,Public Hall,"The Public Hall, Matamau"
4,Gisborne,Ormondville,Board Office,"The Town Board Office, Ormondville"
4,Gisborne,Norsewood,Library,"The Public Library, Norsewood"
4,Gisborne,Takapau,Other,"Garrison Hall, Gisborne. ‘ The Public Hall, Takapau"
4,Gisborne,Gisborne,Other,"Masonic Hall, Childers Road, Gisborne"
4,Gisborne,Waipukuran,Council Chambers,"The County Council Chambers, Waipukuran"
4,Gisborne,Kaiti,Public School,"The Public School, Wainui Road, Kaiti"
4,Gisborne,Ongaonga,Public Hall,"The Public Hall, Ongaonga"
4,Gisborne,Mangapapa,Public School,"The Public School, Mangapapa"
4,Gisborne,Te Hapara. ‘,Public School,"The Public School, Milltown, Te Hapara. ‘"
4,Gisborne,Makaretu,Public School,"The Public School, Makaretu"
4,Gisborne,Matawhero,Public School,"The Public School, Matawhero"
4,Gisborne,‘Tikokino,Library,"The Public Library, ‘Tikokino"
4,Gisborne,Blackburn,Public School,"The Public School, Waerengaahika. : The Post-office, Blackburn"
4,Gisborne,Patutahi,Public School,"The Public School, Patutahi"
4,Gisborne,Maraekakaho,Public School,"The Public School, Maraekakaho"
4,Gisborne,Waerengaokuri,Post Office,"The Post-office, Waerengaokuri"
4,Gisborne,Pakipaki,Public School,"The Public School, Pakipaki"
4,Gisborne,Te Aute,Schoolroom,"The Schoolroom (Balfour’s), Te Aroha. |"" The Publie Hall, Te Aute"
4,Gisborne,Tiniroto,Public School,"The Public School, Tiniroto"
4,Pahiatua,Te Arai,Public School,"The Public School, Manutuke, Te Arai"
4,Pahiatua,Woodville,Other,"The Foresters’ Hall, Woodville (principal)"
4,Pahiatua,Wharerata,Post Office,"The Post-office, Wharerata"
4,Pahiatua,Herbertville,School,"The Publie School, Herbertville"
4,Pahiatua,Mangatainoka,Other,"The Hall, Mangatainoka"
4,Pahiatua,Nuhaka,Public School,"The Public School, Nuhaka"
4,Pahiatua,Makuri,Public School,"The Public School, Makuri"
4,Pahiatua,Pahiatua,Other,"The Fo nesters’ Hall, Pahiatua"
4,Pahiatua,Frasertown,Public School,"The Public School, Frasertown"
4,Pahiatua,Hatuma,Other,"The Wool-shed, near School, Hatuma"
4,Pahiatua,Wanstead,Native School,"The Native School, Tuhara. ‘ The Public School, Wanstead"
4,Hawke'S Bay,Whakataki,Public School,"The Public School, Whakataki"
4,Hawke'S Bay,Hastings,School,"The District School, Hastings"
4,Hawke'S Bay,Annedale,Other,"The Men's Cottage, Annedale"
4,Hawke'S Bay,Mangapakeha,Public School,"The Public School, Mahora South. : The Public School, Mangapakeha"
4,Hawke'S Bay,Havelock North,Public School,"The Public School, Havelock North"
4,Hawke'S Bay,Mangateretere,Public School,"The Public School, Mangateretere"
