Population,
Gisborne.,
Gisborne Borough,"9,174"
    Mangapapa Town District,"1,140"
    Remainder of suburban area,"2,346"
                Total,"12,660"
Napier.,
Napier Borough,"12,704"
    Taradale Town District,"1,012"
    Remainder of suburban area,"1,415"
                Total,"15,131"
New Plymouth.,
New Plymouth Borough,"8,704"
    Remainder of suburban area,"1,091"
                Total,"9,795"
Wanganui.,
Wanganui Borough,"14,380"
    Gonville Town District,"2,693"
    Castlecliff Town District,734
    Remainder of suburban area,"1,710"
                Total,"19,517"
Palmerston North.,
Palmerston North Borough,"12,829"
    Remainder of suburban area,"1,177"
                Total,"14,006"
Nelson.,
Nelson City,"8,774"
    Remainder of suburban area,"1,188"
                Total,"9,962"
Grey Valley Boroughs.,
Greymouth Borough,"4,863"
    Runanga Borough,"1,411"
    Brunner Borough,598
    Remainder of suburban area,"1,501"
                Total,"8,373"
Timaru.,
Timaru Borough,"12,238"
    Remainder of suburban area,"1,478"
                Total,"13,716"
Invercargill.,
Invercargill Borough,"14,154"
    South Invercargill Borough,"1,712"
    Remainder of suburban area,"1,996"
                Total,"17,862"