Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
lxix,Otago,Airedale,2,24,,,
,,Akatore,1,13,,,
,,Akatore Coast,1,10,,,
,,Albany Street,7C,621,,,
,,Alexandra District High School Primary (151) Secondary (32),4B,183,,,
,,Allanton,3A,32,,,
,,Anderson's Bay,5A,271,,,
,,Ardgowan,1,22,,,
,,Arthur Street,7A,515,,,
,,Arthurton,1,13,,,
,,Awamangu,2,19,,,
,,Awamoko,3A,62,,,
,,Balclutha District High School Primary (357) Secondary (61),6A,418,,,
,,Bald Hill,1,12,,,
,,Bannockburn,3A,37,,,
,,Barewood,1,13,,,
,,Beaumont,3A,57,,,
,,Bendigo,1,21,,,
,,Benhar,3A,51,,,
,,Berwen ,0,4,,,
,,Berwick,2,25,,,
,,Blacks,3A,41,,,
,,Blackstone,1,9,,,
,,Bluespur,2,20,,,
,,Brighton,3A,36,,,
,,Broad Bay,1,15,,,
,,Cambrians,2,25,,,
,,Caversham,7C,635,,,
,,Chaslands,1,9,,,
,,Chatto Creek,1,11,,,
,,Clark's Flat,1,21,,,
,,Clinton,3B,83,,,
,,Clyde,3B,85,,,
,,Clydevale,1,21,,,
,,Coal Creek,3A,36,,,
,,Concord,4A,125,,,
,,Conicall Hill ,1,17,,,
,,Cromwell,4A,131,,,
,,Crooksron,2,17,,,
,,Dunback,3A,56,,,
,,Dunrobin,2,28,,,
,,Duntroon,3a,66,,,
,,Earnscleugh,3A,42,,,
,,East Taieri,3A,78,,,
,,Elderslie,2,17,,,
,,Ettrick,2,31,,,
,,Evansdale,3A,29,,,
,,Evans Flat,2,30,,,
,,Fair View,0,2,,,
,,Five Forks,0,14,,,
,,Flag Swamp,3A,48,,,
,,Forbury,7D,675,,,
,,Galloway,2,25,,,
,,George Street,7C,605,,,
,,Gimmerburn,1,5,,,
,,Glenkenich,1,20,,,
,,Glenledi,1,7,,,
,,Glenomaru,3A,40,,,
,,Glenore,1,18,,,
,,Goodwood,0,7,,,
,,Greenfield,1,20,,,
,,Green Island,5C,327,,,
,,Hampden,3B,100,,,
,,Hawea,3A,37,,,
,,Henley,2,36,,,
,,Heriot,3A,68,,,
,,Highcliff,3A,52,,,
,,High Street,7a,531,,,
,,Hillend,1,11,,,
,,Hill Springs,0,5,,,
,,Hinahina,0,6,,,
,,Hindon Railway,1,9,,,
,,Hooper's Inlet,1,16,,,
,,Houipapa,2,37,,,
,,Hyde,3A,39,,,
,,Ida Valley,1,18,,,
,,Incholme,2,32,,,
,,Inch Valley,1,16,,,
,,Island Cliffe,2,33,,,
,,Kahuika ,2,18,,,
,,Kaihiku,1,14,,,
,,Kaikorai,7B,577,,,
,,Kaitangata,5C,357,,,
,,Kakanui,3A,55,,,
,,Kakapuaka,1,18,,,
,,Karitane,2,28,,,
,,Kartigi,2,16,,,
,,Katea,2,19,,,
,,Kauroo,1,12,,,
,,Kelso,3A,47,,,
,,Kensington,5D,385,,,
,,Kia Ora ,3A,36,,,
,,Killermont,0,1,,,
,,Kokoano,1,10,,,
,,Kokonga,1,13,,,
,,Kuri Bush,0,12,,,
,,Kuriwao,1,11,,,
,,Kurow,3A,66,,,
,,Kyeburn,1,13,,,
,,Kyeburn Diggings,1,10,,,
,,Lauder,1,19,,,
,,Lauder Railway Station,2,25,,,
,,Lawrence District High School Primary (130) Secondary (36),4B,166,,,
,,Leith Valley,3A,51,,,
,,Livingstone,3A,57,,,
,,Lovell's Flat,3A,55,,,
,,Lowburn,3A,56,,,
,,Lower Harbour,2,24,,,
,,Luggate,1,12,,,
,,Macandrew Road ,7C,622,,,
,,McLennan,2,21,,,
,,Macrae's,2,27,,,
,,Maerewhenua,2,18,,,
,,Maheno,4A,126,,,
,,Makarora,1,11,,,
,,Manuka Creek,0,7,,,
,,Maori Hill,5D,355,,,
,,Matakanui,2,28,,,
,,Matau,1,25,,,
,,Matea,1,19,,,
,,Maungatua,3A,37,,,
,,Merino Downs,1,10,,,
,,Merton,2,23,,,
,,Milburn,3A,60,,,
,,Miller's Flat,3A,63,,,
,,Moa Creek,3A,38,,,
,,Moa Flat,1,10,,,
,,Moeraki,3A,41,,,
,,Momona,3A,47,,,
,,Moonlight,1,15,,,
,,Moray Place,5C,313,,,
,,Mornington,7B,538,,,
,,Mosgiel District High School Primary (321) Secondary (20),5D,341,,,
,,Mount Cargill,2,21,,,
,,Mount Stewart,1,11,,,
,,Musselburgh,7B,596,,,
,,Naseby,3B,97,,,
,,Nevis,1,12,,,
,,Ngapara,3a,68,,,
,,Ngapuna,1,9,,,
,,Normal School (see lxxviii),,,,,
,,North East Harbour,3A,45,,,
,,North-east Valley,7C,653,,,
,,North Taieri,2,21,,,
,,Nugget Point,1,14,,,
,,Oamaru Middle,4B,159,,,
,,Oamaru North,,470,,,
,,Oamaru South,5D,413,,,
,,Otakou,2,25,,,
,,Otanomomo,2,30,,,
,,Otekaike,3A,38,,,
,,Otekura,1,13,,,
,,Otepopo,3A,81,,,
,,Otiake,2,29,,,
,,Otokia,2,21,,,
,,Oturehua,2,26,,,
,,Outram,3B,88,,,
,,Owaka,4A,119,,,
,,Owaka Valley,2,26,,,
,,Paerau,0,6,,,
,,Palmerston District High School Primary (225) Secondary (24),5A,249,,,
,,Papakaio,3A,69,,,
,,Papatowai,2,18,,,
,,Patearoa,2,29,,,
,,Pine Hill,3A,40,,,
,,Poolburn,1,17,,,
,,Popotunoa,1,12,,,
,,Port Chalmers District High School Primary (447) Secondary (25),6B,472,,,
,,Port Molyneux,2,14,,,
,,Portobello,3A,57,,,
,,Pounawea,1,14,,,
,,Pukeiwitahi,2,28,,,
,,Pukema,1,8,,,
,,Pukepito,1,17,,,
,,Puketi,1,14,,,
,,Puketiro,1,11,,,
,,Pukeuri,3A,61,,,
,,Purakanui,2,33,,,
,,Purakauiti,1,16,,,
,,Purekireki,2,17,,,
,,Rae's Junction,1,17,,,
,,Ranfurly,3A,76,,,
,,Ratanui,3A,38,,,
,,Ravensbourne,4B,192,,,
,,Reomoana,1,19,,,
,,Romahapa,3A,45,,,
,,Roxburgh,4A,148,,,
,,Saddle Hill,1,9,,,
,,St. Bathans,2,28,,,
,,St.Clair,5B,321,,,
,,St. Leonards,3A,39,,,
,,Sandymount,3A,38,,,
,,Sawyer's Bay,4A,122,,,
,,Seacliff,3B,90,,,
,,Southbridge,2,28,,,
,,Spottis Creek,1,10,,,
,,Spylaw Valley,1,11,,,
,,Stirling,3A,72,,,
,,Stony Creek,2,18,,,
,,Strath Taieri,4A,117,,,
,,Sutton,2,31,,,
,,Table Hill,1,12,,,
,,Tahakapa,2,33,,,
,,Tahatika,2,22,,,
,,Tahora,0,8,,,
,,Taieri Beach,2,22,,,
,,Taieri Ferry,1,14,,,
,,Tapanui District High School Primary (164) Secondary (24),4B,188,,,
,,Tapui,2,15,,,
,,Tarara,1,10,,,
,,Tarras,1,14,,,
,,Taumata,1,12,,,
,,Tawanui,2,21,,,
,,Teaneraki,3A,63,,,
,,Te Houka,2,22,,,
,,Tokaraki,3A,44,,,
,,Tokoiti,3B,95,,,
,,Tokamairiro District High School Primary (223) Secondary (21),5A,244,,,
,,Totara,3A,85,,,
,,Tuapeka Flat,1,13,,,
,,Tuapeka Mouth,3A,37,,,
,,Tuapeka West ,1,16,,,
,,Upper Junction ,2,26,,,
,,Waianakarua,2,33,,,
,,Waihemo,1,10,,,
,,Waihola,3A,47,,,
,,Waikoikoi,3A,38,,,
,,Waikouaiti ,4B,155,,,
,,Waipahi,2,34,,,
,,Waipiata,1,32,,,
,,Waipori,2,19,,,
,,Waipori Falls,1,17,,,
,,Wairuna,2,21,,,
,,Waitahuna,3B,83,,,
,,Waitahuna Gully,2,24,,,
,,Waitahuna West,1,17,,,
,,Waitaki Bridge,2,26,,,
,,Waitapeka,1,23,,,
,,Waitati,3B,84,,,
,,Waiwera,3A,58,,,
,,Wakari,4A,170,,,
,,Walton,3A,58,,,
,,Wanaka,1,14,,,
,,Wanaka Road,0,5,,,
,,Wangaloa,1,5,,,
,,Warepa,1,22,,,
,,Waronui,2,21,,,
,,Wedderburn,2,23,,,
,,Weston,3B,90,,,
,,West Taieri,2,27,,,
,,Wetherstones,1,13,,,
,,Whare Flat,0,9,,,
,,Wharekuri,1,14,,,
,,Wharetoa,1,10,,,
,,Windsor,3A,47,,,
,,Wylie's Crossing,2,24,,,
,,"Normal District High School and four model schools (at Training College) - Normal primary (437) Model Schools type I rural (38); type ii junior P-S2 (37), type iii secondary (64); type v junior Kindergarten (average not reckoned: children under five years of age)",7B,576,,,
