flag,source_district,school,school_cleaned,my_county,confidence,matched_sc_name,sc_counties,match_ratio,polling_locality,polling_eds,county_lat,county_lon,verdict,corrected_county
MISMATCH,Auckland,Avondale (475) and side school (32),Avondale,Eden County,High,Avondale,Edon,1.0,,,-36.88158,174.76204,CONFIRM,
MISMATCH,Auckland,Belmont,Belmont,Waitemata County,High,Belmont,Hutt,1.0,,,-36.75,174.67,CONFIRM,
MISMATCH,Auckland,Maketu,Maketu,Tauranga County,High,makaretu,Waipawa,0.857,makaretu,Gisborne,-37.68611,176.16667,DISMISS,
MISMATCH,Auckland,Mataitai,Mataitai,Franklin County,High,matakitaki,Murchison,0.889,Mataitai,Franklin,-37.201744,174.90514,DISMISS,
MISMATCH,Auckland,Meadowbank,Meadowbank,Eden County,High,Meadowbank,Waitaki,1.0,,,-36.88158,174.76204,CONFIRM,
MISMATCH,Auckland,Oruru,Oruru,Mongonui County,High,ruru,Grey,0.889,Oruru,Bay Of Islands,-34.9940621,173.5289181,DISMISS,
MISMATCH,Auckland,Pakaraka,Pakaraka,Bay of Islands County,High,makaraka,Cook,0.875,,,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Purerua,Purerua,Bay of Islands County,High,puerua,Clutha,0.923,,,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Rangiaohia,Rangiaohia,Waipa County,High,rangiwahia,Kiwitea,0.9,rangiwahia,Waimarino,-37.986,175.421,DISMISS,
MISMATCH,Auckland,Waiheke Central,Waiheke,Waitemata County,High,waihakeke,Wairarapa South,0.875,waihakeke,Hawke'S Bay,-36.75,174.67,CONFIRM,
MISMATCH,Auckland,Waimate,Waimate,Bay of Islands County,High,waimata,Cook,0.857,Waimate,Temuka,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Waiuku,Waiuku,Franklin County,High,waipuku,Stratford,0.923,Waiuku,Franklin,-37.201744,174.90514,DISMISS,
MISMATCH,Auckland,Whakamarama,Whakamarama,Tauranga County,High,whakamara,Hawera,0.9,whakamara,Patea,-37.68611,176.16667,DISMISS,
MISMATCH,Canterbury,Redcliffs,Redcliffs,Heathcote County,High,redcliffe,Waimato,0.889,redcliff,Temuka,-43.583,172.716638,DISMISS,
MISMATCH,Canterbury,Waihaorunga,Waihaorunga,Waimate County,High,Waihaorunga,Waimato,1.0,,,-44.72836,171.05009,CONFIRM,
MISMATCH,Canterbury,Waiho,Waiho,Westland County,High,waihou,Piako,0.909,Waiho,Westland,-43.431,170.155,DISMISS,
MISMATCH,Canterbury,Waitahu,Waitahu,Inangahua County,High,waitihu,Horowhenua,0.857,Waitahu,Grey,-41.85724663,171.9298009,DISMISS,
MISMATCH,HawkesBay,Ngamoko,Ngamoko,Dannevirke County,High,Ngamoko,Dannivirke,1.0,,,-40.20611,176.09944,CONFIRM,
MISMATCH,HawkesBay,Waimata Valley,Waimata Valley,Cook County,High,waikaka valley,Southland,0.857,waimate valley,Thames,-38.6623,178.0176,DISMISS,
MISMATCH,Nelson,Ariki,Ariki,Buller County,High,tariki,Taranaki,0.909,tariki,Stratford,-41.813,171.793,DISMISS,
MISMATCH,Nelson,Charleston,Charleston,Buller County,High,charlton,Southland,0.889,Charleston,Buller,-41.813,171.793,DISMISS,
MISMATCH,Nelson,Denniston,Denniston,Buller County,High,Denniston,Grey,1.0,,,-41.813,171.793,CONFIRM,
MISMATCH,Nelson,Hillside,Hillside,Nelson County,High,Hillside,Waikato,1.0,,,-41.27078,173.28404,CONFIRM,
MISMATCH,Nelson,Tahuna,Tahuna,Nelson County,High,Tahuna,Ohinemuri,1.0,tahunanui,Nelson,-41.27078,173.28404,CONFIRM,
MISMATCH,Nelson,Waitahu,Waitahu,Inangahua County,High,waitihu,Horowhenua,0.857,Waitahu,Grey,-41.85724663,171.9298009,DISMISS,
MISMATCH,Nelson,Whangamoa,Whangamoa,Nelson County,High,whangaroa,Whangaroa,0.889,whangaroa,Bay Of Islands,-41.27078,173.28404,DISMISS,
MISMATCH,Otago,Barewood,Barewood,Maniototo County,High,harewood,Waimairi,0.875,harewood,Riccarton,-45.12086448,170.0292969,DISMISS,
MISMATCH,Otago,Clinton,Clinton,Clutha County,High,linton,Kairanga,0.923,linton,Palmerston,-46.233333,169.75,DISMISS,
MISMATCH,Otago,Kakapuaka,Kakapuaka,Clutha County,High,wakapuaka,Waimea,0.889,,,-46.233333,169.75,DISMISS,
MISMATCH,Otago,Makarora,Makarora,Lake County,High,makara,Makara,0.857,Makarora,Wakatipu,-44.83281,168.50304,DISMISS,
MISMATCH,Otago,Waitahuna,Waitahuna,Tuapeka County,High,waituna,Waimate | Southland,0.875,waitahu,Grey,-45.913,169.688,DISMISS,
MISMATCH,Otago,Waitahuna West,Waitahuna West,Tuapeka County,High,Waitahuna West,Bruce,1.0,waituna west,Waimarino,-45.913,169.688,CONFIRM,
MISMATCH,Southland,Beaumont,Beaumont,Tuapeka County (Otago),High,Beaumont,Tuapeka,1.0,,,,,CONFIRM,
MISMATCH,Southland,Granity,Granity,Wallace County,High,Granity,Buller,1.0,Granity,Buller,-45.85,167.78,DISMISS,
MISMATCH,Southland,Half-moon Bay,Half-moon Bay,Southland County,High,Half-moon Bay,Stewart Island,1.0,,,-46.413056,168.3475,CONFIRM,
MISMATCH,Southland,Hillend,Hillend,Wallace County,High,Hillend,Bruce,1.0,,,-45.85,167.78,DISMISS,
MISMATCH,Southland,Opio,Opio,Wallace County,High,oio,Kaitieke,0.857,Opio,Wallace,-45.85,167.78,DISMISS,
MISMATCH,Southland,Rees Valley,Rees Valley,Lake County,High,esk valley,Waimate,0.857,,,-44.83281,168.50304,DISMISS,
MISMATCH,Southland,Riverside,Riverside,Wallace County,High,Riverside,Taieri,1.0,Riverside,Wallace,-45.85,167.78,CONFIRM,
MISMATCH,Southland,Springbank,Springbank,Southland County,High,Springbank,Rangiora,1.0,,,-46.413056,168.3475,CONFIRM,
MISMATCH,Southland,Waikoaka,Waikoaka,Wallace County,High,waikaka,Southland,0.933,waikaka,Wakatipu,-45.85,167.78,DISMISS,
MISMATCH,Southland,Waikana,Waikana,Southland County,High,waikanae,Horowhenua,0.933,waikanae,Otaki,-46.413056,168.3475,CONFIRM,
MISMATCH,Taranaki,Awakino,Awakino,Clifton County,High,waikino,Ohinemuri,0.857,Awakino,Waikato,-38.995833,174.233056,DISMISS,
MISMATCH,Taranaki,Lincoln,Lincoln,Stratford County,High,Lincoln,Springs,1.0,Lincoln,Ellesmere,-39.33708,174.28382,CONFIRM,
MISMATCH,Taranaki,Mahoenui,Mahoenui,Awakino County (Auckland Province),High,Mahoenui,Awakino,1.0,,,,,CONFIRM,
MISMATCH,Taranaki,Makaka,Makaka,Egmont County,High,makaraka,Cook,0.857,takaka,Motueka,-39.453736,173.854185,DISMISS,
MISMATCH,Taranaki,Marakopa,Marakopa,Awakino County (Auckland Province),High,marakopa',Awakino,0.941,marokopa,Bay Of Plenty,,,CONFIRM,
MISMATCH,Taranaki,Mokau,Mokau,Awakino County (Auckland Province),High,Mokau,Awakino,1.0,Mokau,Waikato,,,CONFIRM,
MISMATCH,Taranaki,Otunui,Otunui,Ohura County,High,motunui,Clifton,0.923,Otunui,Watpawa,-38.8439123,174.9816397,DISMISS,
MISMATCH,Taranaki,Waitui,Waitui,Inglewood County,High,waituhi,West Taupo,0.923,,,-39.15824,174.1802,DISMISS,
MISMATCH,Wanganui,Kakatahi,Kakatahi,Wanganui County,High,kokatahi,Westland,0.875,kakahi,Waimarino,-39.9333,175.05,DISMISS,
MISMATCH,Wanganui,Utuwai,Utuwai,Pohangina County,High,Utuwai,Pohangina.,1.0,,,-40.16666,175.7999968,CONFIRM,
MISMATCH,Wanganui,Waitotara,Waitotara,Patea County,High,Waitotara,Pa tea,1.0,Waitotara,Patea,-39.75722,174.47667,CONFIRM,
MISMATCH,Wanganui,Waituna West,Waituna West,Oroua County,High,waitahuna west,Bruce,0.923,Waituna West,Waimarino,-40.166667,175.583333,DISMISS,
MISMATCH,Wellington,Longbush,Longbush,Wairarapa South County,High,Longbush,Southland,1.0,Longbush,Hawke'S Bay,-41.356,175.372,CONFIRM,
MISMATCH,Wellington,Nireaha,Nireaha,Eketahuna County,High,Nireaha,Ekotahuna,1.0,,,-40.647,175.704,CONFIRM,
MISMATCH,Wellington,Wairongomai,Wairongomai,Featherston County,High,waiorongomai,Piako,0.957,waiorongomai,Napier,-41.117,175.317,CONFIRM,
MISMATCH,Wellington,Epuni,Epuni,Hutt County,High,puni,Franklin,0.889,Epuni,Hutt,-41.209164,174.908051,DISMISS,
MISMATCH,Wellington,Opaki,Opaki,Masterton County,High,Opaki,Masterton',1.0,kopaki,Bay Of Plenty,-40.95972,175.6575,CONFIRM,
MISMATCH,Wellington,Mangarama,Mangarama,Pahiatua County,High,mangarawa,Woodville,0.889,,,-40.45333,175.84083,DISMISS,
MISMATCH,Wellington,Manaroa,Manaroa,Marlborough County,High,mataroa,Rangitikei,0.857,Manaroa,Wairau,-41.514,173.96,DISMISS,
MISMATCH,Auckland,Maromaku,Maromaku,Bay of Islands County,Medium,mamaku,Rotorua,0.857,mamaku,Tauranga,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Ruakuri,Ruakuri,Waitomo County,Medium,ruakituri,Wairoa,0.875,,,-38.2615305,175.1145451,DISMISS,
MISMATCH,Auckland,Toatoa,Toatoa,Opotiki County,Medium,tokatoka,Otamatea,0.857,Toatoa,Bay Of Plenty,-38.00915,177.28706,DISMISS,
MISMATCH,Auckland,Tokoroa,Tokoroa,Matamata County,Medium,tokaora,Hawera,0.857,omokoroa,Taumarunui,-37.8106,175.76237,DISMISS,
MISMATCH,Auckland,Tomarata,Tomarata,Rodney County,Medium,tarata,Clifton,0.857,tarata,Stratford,-36.539,174.528,DISMISS,
MISMATCH,Auckland,Waipapa,Waipapa,Bay of Islands County,Medium,waipara,Waipara,0.857,waipiata,Otago Central,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Waipuna,Waipuna,Bay of Islands County,Medium,waituna,Waimate | Southland,0.857,waipu,Marsden,-35.2,174.166667,DISMISS,
MISMATCH,Auckland,Wairoa South,Wairoa South,Franklin County,Medium,waiwera south,Clutha,0.88,,,-37.201744,174.90514,DISMISS,
MISMATCH,Auckland,Waitekauri,Waitekauri,Ohinemuri County,Medium,Waitekauri,Waitomo,1.0,,,-37.379448,175.669424,CONFIRM,
MISMATCH,Auckland,Waitetuna,Waitetuna,Raglan County,Medium,waituna,Waimate | Southland,0.875,,,-37.79931138,174.8783946,DISMISS,
MISMATCH,Auckland,Whangaparoa,Whangaparoa,Rodney County,Medium,whangaroa,Whangaroa,0.9,whangaroa,Bay Of Islands,-36.539,174.528,DISMISS,
MISMATCH,Canterbury,Awatuna,Awatuna,Westland County,Medium,Awatuna,Egmont,1.0,Awatuna,Egmont,-43.431,170.155,CONFIRM,
MISMATCH,Canterbury,Bluespur,Bluespur,Westland County,Medium,blue spur,Tuapeka,0.941,,,-43.431,170.155,DISMISS,
MISMATCH,Canterbury,Kirikiri,Kirikiri,Eyre County,Medium,makirikiri,Wanganui,0.889,Kirikiri,Kaiapot,-43.3049,172.5967,DISMISS,
MISMATCH,Canterbury,Monavale,Monavale,Geraldine County,Medium,Monavale,Waipa,1.0,,,-44.09028,171.24333,CONFIRM,
MISMATCH,Canterbury,Oruruhia,Oruruhia,Rangiora County,Medium,ouruhia,Waimairi,0.933,,,-43.30437,172.58356,CONFIRM,
MISMATCH,Canterbury,Weedon's,Weedons,Paparua County,Medium,weedon's,Panama,0.933,weedon’s,Riccarton,-43.529,172.458173,CONFIRM,
MISMATCH,HawkesBay,Hatuma,Hatuma,Waipawa County,Medium,Hatuma,Waipukurau,1.0,Hatuma,Pahiatua,-39.9416,176.58963,CONFIRM,
MISMATCH,HawkesBay,Matahiwi,Matahiwi,Dannevirke County,Medium,Matahiwi,Masterton,1.0,Matahiwi,Hawke'S Bay,-40.20611,176.09944,CONFIRM,
MISMATCH,HawkesBay,Whakarau,Whakarau,Cook County,Medium,whakapirau,Otamatea,0.889,whakapara,Bay Of Islands,-38.6623,178.0176,DISMISS,
MISMATCH,Nelson,Kaituna,Kaituna,Waimea County,Medium,Kaituna,Marlborough,1.0,,,-41.33333,173.183333,CONFIRM,
MISMATCH,Nelson,Matariki,Matariki,Collingwood County,Medium,tariki,Taranaki,0.857,tariki,Stratford,-40.677222,172.682778,DISMISS,
MISMATCH,Otago,Hillend,Hillend,Tuapeka County,Medium,Hillend,Bruce,1.0,,,-45.913,169.688,CORRECT,Bruce County
MISMATCH,Otago,Lowburn,Lowburn,Vincent County,Medium,loburn,Ashley,0.923,Lowburn,Wakatipu,-45.52,169.46,DISMISS,
MISMATCH,Southland,Clifton,Clifton,Southland County,Medium,Clifton,Takaka,1.0,,,-46.413056,168.3475,CONFIRM,
MISMATCH,Taranaki,Carrington,Carrington,Taranaki County,Medium,Carrington,Wairarapa South,1.0,,,-39.3,174.133333,CONFIRM,
MISMATCH,Taranaki,Matau,Matau,Clifton County,Medium,matapu,Eltham,0.909,matapu,Egmont,-38.995833,174.233056,DISMISS,
MISMATCH,Wellington,Marama,Marama,Awatere County,Medium,ramarama,Franklin,0.857,omarama,Temuka,-41.88419888,173.6366844,DISMISS,
MISMATCH,Wellington,Waikakaho,Waikakaho,Marlborough County,Medium,waikaka,Southland,0.875,waikaka,Wakatipu,-41.514,173.96,DISMISS,
MISMATCH,Wellington,Kaitara,Kaitara,Wairarapa South County,Medium,kaitawa,Pahiatua,0.857,kaitaia,Bay Of Islands,-41.356,175.372,DISMISS,
MISMATCH,Wellington,Takapu,Takapu,Makara County,Medium,takapau,Waipawa,0.923,takapau,Gisborne,-41.2512123,174.7136094,DISMISS,
MISMATCH,Auckland,Goodwood,Goodwood,Piako County,Low,Goodwood,Waihemo,1.0,,,-37.68545,175.67254,CONFIRM,
MISMATCH,Auckland,Hore Hore,Hore Hore,Whangaroa County,Low,horehore,Hobson,0.941,,,-35.05205502,173.7434618,CONFIRM,
MISMATCH,Auckland,Kaimamaku,Kaimamaku,Hobson County,Low,waimamaku,Hokianga,0.889,waimamaku,Bay Of Islands,-35.9396,173.8726,DISMISS,
MISMATCH,Auckland,Mata,Mata,Whangarei County,Low,Mata,Eltham,1.0,Mata,Egmont,-35.73167,174.32391,CONFIRM,
MISMATCH,Auckland,Orere,Orere,Franklin County,Low,korere,Waimea,0.909,,,-37.201744,174.90514,DISMISS,
MISMATCH,Auckland,Wairanga,Wairanga,Thames County,Low,kairanga,Kairanga,0.875,kairanga,Palmerston,-37.138389,175.5405,DISMISS,
MISMATCH,Canterbury,Chorlton,Chorlton,Malvern County,Low,charlton,Southland,0.875,colyton,Waimarino,-43.4884,172.11462,DISMISS,
MISMATCH,Canterbury,Douglas,Douglas,Grey County,Low,Douglas,Stratford | Waimate,1.0,Douglas,Stratford,-42.546,171.606,CONFIRM,
MISMATCH,Canterbury,Kapua,Kapua,Westland County,Low,kapuka,Southland,0.909,,,-43.431,170.155,DISMISS,
MISMATCH,Canterbury,Riverside,Riverside,Westland County,Low,Riverside,Taieri,1.0,Riverside,Wallace,-43.431,170.155,CONFIRM,
MISMATCH,Canterbury,Silverstream,Silverstream,Ashley County,Low,Silverstream,Hutt,1.0,,,-43.3034,172.5914,CONFIRM,
MISMATCH,Canterbury,Tawa,Tawa,Grey County,Low,tawai,Waimate,0.889,,,-42.546,171.606,DISMISS,
MISMATCH,Canterbury,Te Awa,Te Awa,Westland County,Low,te kawa,West Taupo,0.923,,,-43.431,170.155,DISMISS,
MISMATCH,Canterbury,Te Ngawai,Te Ngawai,Geraldine County,Low,tengawai,Mackenzie,0.941,,,-44.09028,171.24333,CONFIRM,
MISMATCH,Canterbury,Te Roto,Te Roto,Westland County,Low,te roti,Eltham,0.857,,,-43.431,170.155,DISMISS,
MISMATCH,Canterbury,Waikakahi,Waikakahi,Waimate County,Low,waikaka,Southland,0.875,waikaka,Wakatipu,-44.72836,171.05009,DISMISS,
MISMATCH,HawkesBay,Clifton,Clifton,Hawke's Bay County,Low,Clifton,Takaka,1.0,,,-39.483,176.917,CONFIRM,
MISMATCH,HawkesBay,Hinuera,Hinuera,Waipawa County,Low,Hinuera,Matamata,1.0,,,-39.9416,176.58963,CONFIRM,
MISMATCH,HawkesBay,Maraekako,Maraekako,Wairoa County,Low,maraekakaho,Hawke's Bay,0.9,maraekakaho,Gisborne,-39.03517,177.41803,CONFIRM,
MISMATCH,HawkesBay,Pouawa,Pouawa,Cook County,Low,poukawa,Hawke's Bay,0.923,,,-38.6623,178.0176,DISMISS,
MISMATCH,HawkesBay,Waikari,Waikari,Wairoa County,Low,Waikari,Waipara,1.0,waikaia,Wakatipu,-39.03517,177.41803,CONFIRM,
MISMATCH,HawkesBay,Woodlands,Woodlands,Wairoa County,Low,Woodlands,Southland,1.0,,,-39.03517,177.41803,CONFIRM,
MISMATCH,Nelson,Churchill,Churchill,Buller County,Low,Churchill,Raglan,1.0,,,-41.813,171.793,CONFIRM,
MISMATCH,Nelson,Glenroy,Glenroy,Waimea County,Low,Glenroy,Selwyn,1.0,Glenroy,Selwyn,-41.33333,173.183333,CONFIRM,
MISMATCH,Nelson,Gordon,Gordon,Buller County,Low,Gordon,Piako,1.0,,,-41.813,171.793,CONFIRM,
MISMATCH,Nelson,Woodstock,Woodstock,Inangahua County,Low,Woodstock,Westland,1.0,Woodstock,Westland,-41.85724663,171.9298009,CORRECT,Westland County
MISMATCH,Otago,Bluespur,Bluespur,Waitaki County,Low,blue spur,Tuapeka,0.941,,,-44.926,170.635,DISMISS,
MISMATCH,Otago,Fair View,Fair View,Clutha County,Low,Fair View,Levels,1.0,fairview,Timaru,-46.233333,169.75,INVESTIGATE,
MISMATCH,Otago,Goodwood,Goodwood,Clutha County,Low,Goodwood,Waihemo,1.0,,,-46.233333,169.75,CONFIRM,
MISMATCH,Otago,Kia Ora,Kia Ora,Clutha County,Low,Kia Ora,Waitaki,1.0,,,-46.233333,169.75,CONFIRM,
MISMATCH,Otago,Matau,Matau,Clutha County,Low,matapu,Eltham,0.909,matapu,Egmont,-46.233333,169.75,DISMISS,
MISMATCH,Otago,Matea,Matea,Clutha County,Low,mata,Eltham,0.889,mata,Egmont,-46.233333,169.75,DISMISS,
MISMATCH,Otago,Tahora,Tahora,Clutha County,Low,Tahora,Whangamomona | Cook,1.0,,,-46.233333,169.75,CONFIRM,
MISMATCH,Otago,Te Houka,Te Houka,Tuapeka County,Low,Te Houka,Clutha,1.0,,,-45.913,169.688,CONFIRM,
MISMATCH,Otago,Waiwera,Waiwera,Clutha County,Low,Waiwera,Waitemata,1.0,,,-46.233333,169.75,CONFIRM,
MISMATCH,Otago,Walton,Walton,Waitaki County,Low,Walton,Piako,1.0,Walton,Tauranga,-44.926,170.635,CONFIRM,
MISMATCH,Taranaki,Okau,Okau,Ohura County,Low,Okau,Clifton,1.0,Okau,Taumarunui,-38.8439123,174.9816397,CONFIRM,
MISMATCH,Taranaki,Pembroke,Pembroke,Stratford County,Low,Pembroke,Lake,1.0,Pembroke,Wakatipu,-39.33708,174.28382,CONFIRM,
MISMATCH,Taranaki,Pukeho,Pukeho,Taranaki County,Low,pukehou,Waipawa,0.923,,,-39.3,174.133333,DISMISS,
MISMATCH,Taranaki,Waiau,Waiau,Clifton County,Low,Waiau,Franklin | Amuri,1.0,waitahu,Grey,-38.995833,174.233056,CONFIRM,
MISMATCH,Wanganui,Coal Creek,Coal Creek,Rangitikei County,Low,Coal Creek,Tuapeka,1.0,moa creek,Otago Central,-39.66667,175.75,CONFIRM,
MISMATCH,Wanganui,Mangara,Mangara,Wanganui County,Low,mangarawa,Woodville,0.875,manaroa,Wairau,-39.9333,175.05,DISMISS,
MISMATCH,Wanganui,Matarawa,Matarawa,Rangitikei County,Low,Matarawa,Wairarapa South,1.0,matawai,Thames,-39.66667,175.75,INVESTIGATE,
MISMATCH,Wanganui,Otairi,Otairi,Rangitikei County,Low,otapiri,Southland,0.923,,,-39.66667,175.75,DISMISS,
MISMATCH,Wanganui,Owhakura,Owhakura,Pohangina County,Low,oakura,Taranaki,0.857,oakura,Taranaki,-40.16666,175.7999968,DISMISS,
MISMATCH,Wanganui,Parawanui,Parawanui,Wanganui County,Low,parawai,Thames,0.875,parawai,Thames,-39.9333,175.05,DISMISS,
MISMATCH,Wanganui,Rapanui,Rapanui,Waitotara County,Low,ratanui,Clutha,0.857,papanui,Kaiapot,-39.805833,174.734444,DISMISS,
MISMATCH,Wanganui,Raukura,Raukura,Oroua County,Low,ruakura,Waikato,0.857,,,-40.166667,175.583333,DISMISS,
MISMATCH,Wanganui,Tokorangi,Tokorangi,Wanganui County,Low,tikorangi,Clifton,0.889,tikorangi,Taumarunui,-39.9333,175.05,DISMISS,
MISMATCH,Wanganui,Woodlands,Woodlands,Wanganui County,Low,Woodlands,Southland,1.0,,,-39.9333,175.05,CONFIRM,
MISMATCH,Wellington,Hakahaka,Hakahaka,Sounds County,Low,akaaka,Franklin,0.857,,,-41.1417,174.0894,DISMISS,
MISMATCH,Wellington,Titirangi,Titirangi,Sounds County,Low,Titirangi,Waitemata,1.0,,,-41.1417,174.0894,CONFIRM,
MISMATCH,Wellington,Waireka,Waireka,Marlborough County,Low,waiareka,Waitaki,0.933,warea,Egmont,-41.514,173.96,DISMISS,
MISMATCH,Wellington,Pukenui,Pukenui,Wairarapa South County,Low,Pukenui,Mongonui,1.0,pukeuri,Temuka,-41.356,175.372,CONFIRM,
MISMATCH,Wellington,Maku,Maku,Pahiatua County,Low,mauku,Franklin,0.889,omakau,Otago Central,-40.45333,175.84083,DISMISS,
MISMATCH,Wellington,Spring Grove,Spring Grove,Sounds County,Low,Spring Grove,Waimea,1.0,,,-41.1417,174.0894,INVESTIGATE,
MISMATCH,Wellington,Waitai,Waitai,Sounds County,Low,waitati,Waikouaiti,0.923,waitangi,Westland,-41.1417,174.0894,DISMISS,
