source_district,school,school_cleaned,my_county,confidence
Auckland,Ahuroa Nos 1 (7) and 2 (9),Ahuroa Nos 1 and 2,Rodney County,Medium
Auckland,Albertland North (14) and Hoteo North (20),Albertland North and Hoteo North,Rodney County,Medium
Auckland,Alexandra,Alexandra,Waipa County,Medium
Auckland,Amodeo Bay Nos. 1 (9) and 2 (8),Amodeo Bay Nos. 1 and 2,Coromandel County,High
Auckland,Arapae,Arapae,Bay of Islands County,Low
Auckland,Araparara (10) and Mangakura (9),Araparara and Mangakura,Hokianga County,Medium
Auckland,Ararimu (11) and Paparimu (12),Ararimu and Paparimu,Franklin County,High
Auckland,Ararua,Ararua,Otamatea County,Medium
Auckland,Avoca,Avoca,Ohinemuri County,Low
Auckland,Awaroa (10) and Matira (8),Awaroa and Matira,Bay of Islands County,Low
Auckland,Awitu No. 2,Awitu No. 2,Franklin County,High
Auckland,Bickerstaffe,Bickerstaffe,Otamatea County,Medium
Auckland,Birkdale,Birkdale,Waitemata County,High
Auckland,Bream Tail (5) and Waipu Cove (18),Bream Tail and Waipu Cove,Whangarei County,High
Auckland,Brighams Creek,Brighams Creek,Rodney County,Medium
Auckland,Brookby,Brookby,Manukau County,Medium
Auckland,Brynavon (12) and Whareora (11),Brynavon and Whareora,Whangarei County,High
Auckland,Brynderwyn,Brynderwyn,Otamatea County,Medium
Auckland,Cambridge Road,Cambridge Road,Waipa County,Medium
Auckland,Cambridge West,Cambridge West,Waipa County,Medium
Auckland,Cape Colvillw,Cape Colvillw,Coromandel County,High
Auckland,Dacre's (19) and Tawharanui (16),Dacres and Tawharanui,Rodney County,High
Auckland,Dairy Flat (19) and Fernilea (9),Dairy Flat and Fernilea,Waitemata County,High
Auckland,Dome Valley,Dome Valley,Rodney County,Medium
Auckland,Edendale,Edendale,Eden County,Medium
Auckland,Fariburn's Road,Fariburns Road,Mongonui County,Medium
Auckland,Flat Bush,Flat Bush,Manukau County,Medium
Auckland,Glenbervie,Glenbervie,Whangarei County,Medium
Auckland,Glen Murray (12) and Opouatia (17),Glen Murray and Opouatia,Raglan County,High
Auckland,Graham's Fern,Grahams Fern,Thames County,Low
Auckland,Great Barrier (7) and Katherine Bay (17),Great Barrier and Katherine Bay,Waitemata County,High
Auckland,Greenhithe (12) and Long Bay (11),Greenhithe and Long Bay,Waitemata County,High
Auckland,Gumtown (11) and Whenuakite (10),Gumtown and Whenuakite,Thames County,High
Auckland,Hakaru (14) and Tara Road (17),Hakaru and Tara Road,Otamatea County,Medium
Auckland,Helena Bay,Helena Bay,Whangarei County,High
Auckland,Helensville,Helensville,Rodney County,High
Auckland,Henderson Valley,Henderson Valley,Waitemata County,High
Auckland,Hikurangi,Hikurangi,Whangarei County,High
Auckland,Hora Hora,Hora Hora,Waikato County,Medium
Auckland,Hora Hora Rapids,Hora Hora Rapids,Waikato County,Low
Auckland,Houhora,Houhora,Mongonui County,High
Auckland,Houto (12) and Parakao (11),Houto and Parakao,Hobson County,Medium
Auckland,Huarau,Huarau,Hobson County,Low
Auckland,Huia,Huia,Eden County,Medium
Auckland,Hukerenui South,Hukerenui South,Whangarei County,High
Auckland,Huntly District High School Primary (338) secondary (14),Huntly,Waikato County,High
Auckland,Jordan (10) and Miranda (9),Jordan and Miranda,Franklin County,Medium
Auckland,Kaeaca (14) and Rira (17),Kaeaca and Rira,Waitomo County,Medium
Auckland,Kaiawa (12) and Miranda (9),Kaiawa and Miranda,Franklin County,Medium
Auckland,Kaihere,Kaihere,Waikato County,Medium
Auckland,Kaimanawa,Kaimanawa,East Taupo County,Low
Auckland,Kamo,Kamo,Whangarei County,High
Auckland,Kara (11) and Kokupu (19),Kara and Kokupu,Whangarei County,High
Auckland,Katikati No.1,Katikati No.1,Tauranga County,High
Auckland,Katikati No.2,Katikati No.2,Tauranga County,High
Auckland,Katikati No.3,Katikati No.3,Tauranga County,High
Auckland,Kawa No.1 (13) and Kawa No.2 (20),Kawa No.1 and Kawa No.2,Waipa County,Low
Auckland,Kawakawa,Kawakawa,Bay of Islands County,High
Auckland,Kawhia,Kawhia,Kawhia County,High
Auckland,Kennedy Bay,Kennedy Bay,Coromandel County,High
Auckland,Kerepehi,Kerepehi,Thames County,Medium
Auckland,Kereta (11) and Waikaway (10),Kereta and Waikaway,Coromandel County,Medium
Auckland,Kerikeri Inlet,Kerikeri Inlet,Bay of Islands County,High
Auckland,Kihikihi,Kihikihi,Waipa County,High
Auckland,Kinohaku No.1,Kinohaku No.1,Waitomo County,Medium
Auckland,Kinohaku No.2,Kinohaku No.2,Waitomo County,Medium
Auckland,Kohukohu,Kohukohu,Hokianga County,High
Auckland,Komata South,Komata South,Ohinemuri County,High
Auckland,Kopuarahi,Kopuarahi,Thames County,Medium
Auckland,Kutarere,Kutarere,Opotiki County,Medium
Auckland,Lichfield,Lichfield,Matamata County,Medium
Auckland,Lochnorrie (23) and Wainui (15),Lochnorrie and Wainui,Rodney County,Low
Auckland,Lower Waitoa,Lower Waitoa,Piako County,High
Auckland,Mahurangi Heads West (13) and Puhuehue (9),Mahurangi Heads West and Puhuehue,Rodney County,Medium
Auckland,Maihiihi,Maihiihi,Waitomo County,Medium
Auckland,Mairoa (16) and Waitanguru (17),Mairoa and Waitanguru,Waitomo County,Medium
Auckland,Makarau (15) and Tahekeroa (15),Makarau and Tahekeroa,Rodney County,Medium
Auckland,Manawahe,Manawahe,Rotorua County,Medium
Auckland,Mangaotaki,Mangaotaki,Waitomo County,Medium
Auckland,Mangatu (14) and Tuamoe (8),Mangatu and Tuamoe,Otamatea County,Medium
Auckland,Mangawai beach,Mangawai beach,Otamatea County,High
Auckland,Mangawhero,Mangawhero,Matamata County,Medium
Auckland,Manukau Heads,Manukau Heads,Franklin County,Medium
Auckland,Manurewa,Manurewa,Manukau County,High
Auckland,Maraetai Nos.1 (13) and 2 (8),Maraetai Nos.1 and 2,Franklin County,Medium
Auckland,Maramarua (13) and Maramarya East (10),Maramarua and Maramarya East,Franklin County,Medium
Auckland,Marlow (7) and Ruapekapeka West (12),Marlow and Ruapekapeka West,Bay of Islands County,Medium
Auckland,Marsden Point,Marsden Point,Whangarei County,High
Auckland,Matahuru Nos 1 (16) and 2 (21),Matahuru Nos 1 and 2,Waikato County,High
Auckland,Matakohe No.2,Matakohe No.2,Otamatea County,High
Auckland,Matapouri (16) and Tutukaka (17),Matapouri and Tutukaka,Whangarei County,High
Auckland,Maungatautari No.2,Maungatautari No.2,Matamata County,High
Auckland,Maungatawhiri Valley,Maungatawhiri Valley,Franklin County,High
Auckland,Mercer,Mercer,Waikato County,High
Auckland,Mercury Bay,Mercury Bay,Coromandel County,High
Auckland,Motutara (11) and Muriwai (15),Motutara and Muriwai,Rodney County,Medium
Auckland,Moumoukai,Moumoukai,Franklin County,High
Auckland,Mount Maunganui,Mount Maunganui,Tauranga County,High
Auckland,Mullet Point,Mullet Point,Whangarei County,Medium
Auckland,Ngahape (17) and Tokanui (16),Ngahape and Tokanui,West Taupo County,Medium
Auckland,Ngapuke,Ngapuke,Ohura County,Medium
Auckland,Ngararatunua,Ngararatunua,Waikato County,Low
Auckland,Ngunguru,Ngunguru,Whangarei County,High
Auckland,Ngutunui,Ngutunui,Kawhia County,Low
Auckland,Nukuhou,Nukuhou,Opotiki County,Low
Auckland,Ohauiti,Ohauiti,Tauranga County,Medium
Auckland,Ohaupo,Ohaupo,Waipa County,High
Auckland,Okahu Nos.1 (13) and 2 (7),Okahu Nos.1 and 2,Hobson County,High
Auckland,Okaihau No.2 (8) and Utakura Valley (13),Okaihau No.2 and Utakura Valley,Bay of Islands County,High
Auckland,Okaihau East,Okaihau East,Bay of Islands County,High
Auckland,Okupu (11) and Tryphena (13),Okupu and Tryphena,Waitemata County,High
Auckland,Omaha Little,Omaha Little,Rodney County,Medium
Auckland,Omahine,Omahine,Waikato County,Low
Auckland,Omana,Omana,Franklin County,Low
Auckland,Omanawa (8) and Omanawa Falls (18),Omanawa and Omanawa Falls,Tauranga County,High
Auckland,Omapere,Omapere,Hokianga County,High
Auckland,Omokoroa,Omokoroa,Tauranga County,High
Auckland,Onerahi,Onerahi,Whangarei County,High
Auckland,Opouriao South,Opouriao South,Whakatane County,High
Auckland,Opuawhango (18) and Otonga (20),Opuawhango and Otonga,Opotiki County,Low
Auckland,Oruaiti (14) and Upper Oruaiti (7),Oruaiti and Upper Oruaiti,Whangaroa County,Medium
Auckland,Ostend (5) and Te Huruhi (9),Ostend and Te Huruhi,Waitemata County,High
Auckland,Otaika Valley,Otaika Valley,Whangarei County,High
Auckland,Otamarakau,Otamarakau,Tauranga County,Medium
Auckland,Otara East (19) and Tirohanga (17),Otara East and Tirohanga,Opotiki County,Medium
Auckland,Otewe,Otewe,Waipa County,Low
Auckland,Otorohanga,Otorohanga,Waitomo County,High
Auckland,Owhiwha (13) and Taraunui (13),Owhiwha and Taraunui,Whakatane County,Medium
Auckland,Paemako (25) and Wairiri Falls (15),Paemako and Wairiri Falls,Waitomo County,High
Auckland,Paerata Ridge,Paerata Ridge,Franklin County,High
Auckland,Pakanae,Pakanae,Hokianga County,Medium
Auckland,Pakautukua (8) and Port Charles (8),Pakautukua and Port Charles,Coromandel County,High
Auckland,Pakiri,Pakiri,Rodney County,High
Auckland,Pakotai,Pakotai,Hobson County,Low
Auckland,Papakura,Papakura,Manukau County,Medium
Auckland,Papamoa No.1,Papamoa No.1,Tauranga County,High
Auckland,Papamoa No.2,Papamoa No.2,Tauranga County,High
Auckland,Papatoetoe,Papatoetoe,Manukau County,High
Auckland,Paranui (14) and Taipa(5),Paranui and Taipa,Mongonui County,High
Auckland,Parenga,Parenga,Mongonui County,Low
Auckland,Parua Bay Nos. 1 (23) and 2 (25),Parua Bay Nos. 1 and 2,Whangarei County,High
Auckland,Patetonga,Patetonga,Thames County,Medium
Auckland,Piarere,Piarere,Matamata County,Low
Auckland,Piha (6) and Whatipu (7),Piha and Whatipu,Waitemata County,High
Auckland,Pollock,Pollock,Franklin County,High
Auckland,Ponga,Ponga,Franklin County,High
Auckland,Ponui,Ponui,Franklin County,Low
Auckland,Puahue,Puahue,Waitomo County,Low
Auckland,Pukekawa,Pukekawa,Waikato County,Medium
Auckland,Pukemiro Colleries,Pukemiro Colleries,Raglan County,High
Auckland,Punakitere,Punakitere,Hokianga County,Medium
Auckland,Purua No.1,Purua No.1,Whangarei County,Medium
Auckland,Putake (7) and Waitomo Caves (6),Putake and Waitomo Caves,Waitomo County,High
Auckland,Raglan,Raglan,Raglan County,High
Auckland,Rangiahua (24) and Upper Waihou (19),Rangiahua and Upper Waihou,Hokianga County,High
Auckland,Rangitoto No.2,Rangitoto No.2,Waitemata County,Low
Auckland,Rotokakahi (12) and Salt Springs (9),Rotokakahi and Salt Springs,Rotorua County,High
Auckland,Rotokauri,Rotokauri,Waikato County,Medium
Auckland,Rotorua Island,Rotorua Island,Rotorua County,Low
Auckland,Ruatangata East,Ruatangata East,Whangarei County,High
Auckland,Ruatangata West,Ruatangata West,Whangarei County,High
Auckland,Stanley Bay,Stanley Bay,Waitemata County,Medium
Auckland,Tangitu,Tangitu,Ohura County,Medium
Auckland,Tangowahine Valley,Tangowahine Valley,Hobson County,High
Auckland,Taotaoroa No.1,Taotaoroa No.1,Matamata County,Medium
Auckland,Tapapa,Tapapa,Matamata County,Medium
Auckland,Tapu,Tapu,Thames County,High
Auckland,Tapuhi,Tapuhi,Bay of Islands County,High
Auckland,Tauhei No.1,Tauhei No.1,Piako County,High
Auckland,Tauhei No.2,Tauhei No.2,Piako County,High
Auckland,Tauraroa,Tauraroa,Otamatea County,Medium
Auckland,Te Akau,Te Akau,Raglan County,Medium
Auckland,Te Aroha West,Te Aroha West,Matamata County,High
Auckland,Te Hihi,Te Hihi,Franklin County,Medium
Auckland,Te Hoe,Te Hoe,Waikato County,Medium
Auckland,Te Pahu,Te Pahu,Waipa County,Medium
Auckland,Te Papapa,Te Papapa,Eden County,Medium
Auckland,Te Pua,Te Pua,Hokianga County,Low
Auckland,Te Puke,Te Puke,Tauranga County,High
Auckland,Te Puke No.2,Te Puke No.2,Tauranga County,High
Auckland,Te Puna,Te Puna,Tauranga County,Medium
Auckland,Te Rahu,Te Rahu,Waitomo County,Medium
Auckland,Te Rauamoa,Te Rauamoa,Waitomo County,Medium
Auckland,Tererenga (10) and Whangapoua (11),Tererenga and Whangapoua,Coromandel County,High
Auckland,Te Uku,Te Uku,Raglan County,Medium
Auckland,Thames North,Thames North,Thames County,Medium
Auckland,Thornton,Thornton,Whakatane County,Medium
Auckland,Ti Point,Ti Point,Rodney County,Medium
Auckland,Titoki (22) and Wharekohe (16),Titoki and Wharekohe,Whangarei County,High
Auckland,Tuakau,Tuakau,Franklin County,High
Auckland,Tuhikaramea,Tuhikaramea,Waikato County,Medium
Auckland,Upper Waiwera,Upper Waiwera,Waitemata County,High
Auckland,Waikiekie East (17) and Waikiekie West (29),Waikiekie East and Waikiekie West,Whangarei County,High
Auckland,Waimai (6) and Waingaro (9),Waimai and Waingaro,Raglan County,High
Auckland,Waimamaku Valley,Waimamaku Valley,Hokianga County,High
Auckland,Waimatenui,Waimatenui,Bay of Islands County,Low
Auckland,Waiotahi Valley,Waiotahi Valley,Opotiki County,High
Auckland,Waiotemarama (18) and Weke-weka (17),Waiotemarama and Weke-weka,Hokianga County,High
Auckland,Waipari (18) and Wharepuhunga (18),Waipari and Wharepuhunga,Waipa County,Medium
Auckland,Waipu Cave,Waipu Cave,Whangarei County,High
Auckland,Waipu North,Waipu North,Whangarei County,High
Auckland,Waipu Upper,Waipu Upper,Whangarei County,High
Auckland,Waitakaruru,Waitakaruru,Thames County,High
Auckland,Waitangi,Waitangi,Bay of Islands County,High
Auckland,Waitomo Valley Road (12) and Te Rau Mauku (13),Waitomo Valley Road and Te Rau Mauku,Waitomo County,High
Auckland,Wardville,Wardville,Piako County,Low
Auckland,Warkworth,Warkworth,Rodney County,High
Auckland,Wayby,Wayby,Rodney County,Medium
Auckland,Weymouth,Weymouth,Franklin County,Medium
Auckland,Whananaki,Whananaki,Whangarei County,High
Auckland,Whangarei Heads (42) and side school (14),Whangarei Heads,Whangarei County,High
Auckland,Whangaroa North,Whangaroa North,Whangaroa County,High
Auckland,Wharehine,Wharehine,Hokianga County,Medium
Auckland,Whitford No.1,Whitford No.1,Manukau County,High
Auckland,Whitford No.2,Whitford No.2,Manukau County,High
Canterbury,Adair,Adair,Levels County,High
Canterbury,Amberly,Amberly,Kowai County,High
Canterbury,Arahura Road,Arahura Road,Westland County,High
Canterbury,Aratika,Aratika,Grey County,Medium
Canterbury,Ashburton Forks,Ashburton Forks,Ashburton County,Medium
Canterbury,Ashley Gorge,Ashley Gorge,Ashley County,Medium
Canterbury,Ashton,Ashton,Ashburton County,Low
Canterbury,Ashwick Flat,Ashwick Flat,Mackenzie County,Medium
Canterbury,Ataahua,Ataahua,Geraldine County,Low
Canterbury,Barr Hill,Barr Hill,Malvern County,Low
Canterbury,Barrytown,Barrytown,Grey County,High
Canterbury,Big River,Big River,Inangahua County,Medium
Canterbury,Birdling's Flat,Birdlings Flat,Ellesmere County,Medium
Canterbury,Boddytown,Boddytown,Grey County,Medium
Canterbury,Broadfield,Broadfield,Paparua County,Medium
Canterbury,Broomfield,Broomfield,Levels County,Low
Canterbury,Bruce Bay,Bruce Bay,Westland County,High
Canterbury,Callaghan's,Callaghans,Selwyn County,Medium
Canterbury,Calrleton,Calrleton,Eyre County,Medium
Canterbury,Charing Cross,Charing Cross,Paparua County,Medium
Canterbury,Claremont,Claremont,Malvern County,Low
Canterbury,Cook's River,Cooks River,Westland County,Low
Canterbury,Cooper's Creek,Coopers Creek,Ashburton County,Low
Canterbury,Dobson,Dobson,Grey County,High
Canterbury,Dromore,Dromore,Ashburton County,Medium
Canterbury,Dunganville (7) andd Marsden (4),Dunganville andd Marsden,Cheviot County,Low
Canterbury,Eyreton West,Eyreton West,Eyre County,High
Canterbury,Fairton,Fairton,Ashburton County,Medium
Canterbury,Four Peaks,Four Peaks,Geraldine County,Low
Canterbury,French Farm,French Farm,Akaroa County,Low
Canterbury,Glen Kowhai,Glen Kowhai,Oxford County,Low
Canterbury,Goldsborough,Goldsborough,Westland County,High
Canterbury,Governor's Bay,Governors Bay,Mt Herbert County,Medium
Canterbury,Greta Valley,Greta Valley,Cheviot County,Medium
Canterbury,Hanmer Plains,Hanmer Plains,Amuri County,High
Canterbury,Hannaton,Hannaton,Malvern County,Low
Canterbury,Hatters,Hatters,Grey County,Low
Canterbury,Hazelburn,Hazelburn,Geraldine County,Medium
Canterbury,Homebush,Homebush,Ashburton County,Low
Canterbury,Hook Bush,Hook Bush,Waimate County,Medium
Canterbury,Horsley Downs,Horsley Downs,Cheviot County,Medium
Canterbury,Humphrey's,Humphreys,Westland County,High
Canterbury,Hundalee,Hundalee,Cheviot County,Medium
Canterbury,Huntingdon,Huntingdon,Ashburton County,Medium
Canterbury,Hurunui,Hurunui,Amuri County,Low
Canterbury,Ikawai,Ikawai,Waimate County,High
Canterbury,Inchbonnie,Inchbonnie,Grey County,High
Canterbury,Jack's Mill,Jacks Mill,Grey County,Medium
Canterbury,Jackson,Jackson,Westland County,High
Canterbury,Kaikoura Surburban,Kaikoura Surburban,Kaikoura County,High
Canterbury,Kaikoura Town District High School Primary (94) secondary (9),Kaikoura Town,Kaikoura County,High
Canterbury,Kakahu Bush,Kakahu Bush,Geraldine County,High
Canterbury,Kohika,Kohika,Westland County,Low
Canterbury,Kokatahi Lower,Kokatahi Lower,Westland County,High
Canterbury,Kokatahi Upper,Kokatahi Upper,Westland County,High
Canterbury,Kokiri,Kokiri,Grey County,High
Canterbury,Kowhai Bush,Kowhai Bush,Malvern County,Low
Canterbury,Kumara Junction,Kumara Junction,Westland County,High
Canterbury,La Fontaine,La Fontaine,Levels County,Low
Canterbury,Le Bon's Bay,Le Bons Bay,Akaroa County,High
Canterbury,Loburn North,Loburn North,Ashley County,High
Canterbury,Lyalldale,Lyalldale,Amuri County,Low
Canterbury,Lynton Downs,Lynton Downs,Mackenzie County,Low
Canterbury,Mahitahi,Mahitahi,Westland County,High
Canterbury,Mananui,Mananui,Westland County,Low
Canterbury,Mason's Flat,Masons Flat,Grey County,Low
Canterbury,Mead,Mead,Ashburton County,Low
Canterbury,Mikonui,Mikonui,Westland County,Medium
Canterbury,Milford,Milford,Levels County,Low
Canterbury,Moana,Moana,Grey County,High
Canterbury,Moonlight,Moonlight,Westland County,Medium
Canterbury,Mount Grey Downs,Mount Grey Downs,Ashley County,Low
Canterbury,Okarito,Okarito,Westland County,High
Canterbury,Okarito Forks,Okarito Forks,Westland County,High
Canterbury,Okuku,Okuku,Ashley County,Low
Canterbury,Okuru,Okuru,Westland County,High
Canterbury,Okute Valley,Okute Valley,Westland County,Low
Canterbury,Opawa,Opawa,Heathcote County,High
Canterbury,Opihi,Opihi,Geraldine County,Medium
Canterbury,Orari Bridge,Orari Bridge,Geraldine County,High
Canterbury,Orari Gorge,Orari Gorge,Geraldine County,High
Canterbury,Oxford East District High School - Primary (106) Secondary (13),Oxford East,Oxford County,High
Canterbury,Oxford West,Oxford West,Oxford County,High
Canterbury,Papanui (262) and Bligh's Road (side school) (104),Papanui and Blighs Road (side school,Waimairi County,High
Canterbury,Pareora East,Pareora East,Levels County,High
Canterbury,Pareora West,Pareora West,Levels County,High
Canterbury,Pendarves,Pendarves,Ashburton County,Medium
Canterbury,Pigeon's Bay,Pigeons Bay,Akaroa County,Medium
Canterbury,Pleasant Point District High School Primary (146) Secondary (22),Pleasant Point,Levels County,High
Canterbury,Port Levy,Port Levy,Mt Herbert County,Medium
Canterbury,Port Robinson,Port Robinson,Cheviot County,Low
Canterbury,Rakaia South,Rakaia South,Ashburton County,High
Canterbury,Rangitata Station,Rangitata Station,Geraldine County,Low
Canterbury,Roa,Roa,Grey County,High
Canterbury,Robinson's Bay,Robinsons Bay,Akaroa County,Medium
Canterbury,Rokeby,Rokeby,Ashburton County,Low
Canterbury,Rosewill,Rosewill,Levels County,Medium
Canterbury,Rotomanu,Rotomanu,Grey County,High
Canterbury,Salisbury,Salisbury,Waimairi County,Low
Canterbury,Saltwater Creek,Saltwater Creek,Westland County,Medium
Canterbury,Seaview,Seaview,Heathcote County,Low
Canterbury,Sedgemere,Sedgemere,Ashburton County,Low
Canterbury,Shirley Road,Shirley Road,Waimairi County,High
Canterbury,Southbridge District High School Primary (140) Secondary (23),Southbridge,Ellesmere County,High
Canterbury,South Malvern,South Malvern,Malvern County,Medium
Canterbury,Spencerville,Spencerville,Waimairi County,Medium
Canterbury,Springbrook,Springbrook,Malvern County,Low
Canterbury,Stillwater,Stillwater,Grey County,High
Canterbury,Summerhill,Summerhill,Levels County,Low
Canterbury,Swedes Mill,Swedes Mill,Grey County,Low
Canterbury,Taramakau,Taramakau,Grey County,Low
Canterbury,Taylorville,Taylorville,Grey County,High
Canterbury,Teddington,Teddington,Akaroa County,Medium
Canterbury,Te Moana,Te Moana,Geraldine County,Low
Canterbury,Te Pirita,Te Pirita,Ashburton County,Low
Canterbury,Teschmakers,Teschmakers,Waimate County,Low
Canterbury,Tuahiwi,Tuahiwi,Eyre County,Medium
Canterbury,Waihao Downs,Waihao Downs,Waimate County,High
Canterbury,Wainihinihi,Wainihinihi,Westland County,High
Canterbury,Wairewa,Wairewa,Wairewa County,High
Canterbury,Waitohi Flat,Waitohi Flat,Geraldine County,Medium
Canterbury,Waitohi Upper,Waitohi Upper,Geraldine County,Medium
Canterbury,Waituna Creek,Waituna Creek,Ashburton County,Low
Canterbury,Westbrook,Westbrook,Grey County,Low
Canterbury,Whiterock,Whiterock,Waimate County,Low
Canterbury,Winslow,Winslow,Ashburton County,Low
HawkesBay,Argyll East,Argyll East,Waipawa County,High
HawkesBay,Awariki,Awariki,Wairoa County,Low
HawkesBay,Fernhill,Fernhill,Hawke's Bay County,Medium
HawkesBay,Flemington,Flemington,Waipawa County,Low
HawkesBay,Havelock North,Havelock North,Hawke's Bay County,High
HawkesBay,Heretaunga,Heretaunga,Hawke's Bay County,Medium
HawkesBay,Hopelands,Hopelands,Waipawa County,Low
HawkesBay,Ihungia,Ihungia,Waiapu County,Low
HawkesBay,Kaitaratahi,Kaitaratahi,Cook County,Low
HawkesBay,Keruru,Keruru,Cook County,Low
HawkesBay,Maharahara West,Maharahara West,Weber County,Low
HawkesBay,Makaretu South,Makaretu South,Waipawa County,High
HawkesBay,Mangatahi,Mangatahi,Hawke's Bay County,Low
HawkesBay,Marakeke,Marakeke,Cook County,Low
HawkesBay,Marumaru,Marumaru,Cook County,High
HawkesBay,Morere,Morere,Wairoa County,Medium
HawkesBay,Ngatarawa,Ngatarawa,Hawke's Bay County,Medium
HawkesBay,Norsewood,Norsewood,Waipawa County,High
HawkesBay,Omakere,Omakere,Patangata County,Low
HawkesBay,Opapa,Opapa,Waipawa County,Medium
HawkesBay,Opoutama,Opoutama,Wairoa County,Medium
HawkesBay,Ormondville,Ormondville,Dannevirke County,High
HawkesBay,Otamauri,Otamauri,Hawke's Bay County,Low
HawkesBay,Otane,Otane,Waipawa County,High
HawkesBay,Patangata,Patangata,Patangata County,Medium
HawkesBay,Port Awanui,Port Awanui,Waiapu County,High
HawkesBay,Putorino,Putorino,Wairoa County,Low
HawkesBay,Ruaroa,Ruaroa,Cook County,Low
HawkesBay,Ruataniwha,Ruataniwha,Waipawa County,Medium
HawkesBay,Sherenden,Sherenden,Hawke's Bay County,Low
HawkesBay,Tangitere,Tangitere,Cook County,Low
HawkesBay,Taradale (237) and Greenmeadows (side school) (53),Taradale and Greenmeadows (side school,Hawke's Bay County,High
HawkesBay,Te Arai,Te Arai,Hawke's Bay County,Medium
HawkesBay,Te Pohue,Te Pohue,Hawke's Bay County,Low
HawkesBay,Te Puia Springs,Te Puia Springs,Waiapu County,Medium
HawkesBay,Tipapakuku,Tipapakuku,Hawke's Bay County,Medium
HawkesBay,Tutira,Tutira,Hawke's Bay County,High
HawkesBay,Waitahora,Waitahora,Dannevirke County,Low
HawkesBay,Wigan,Wigan,Cook County,High
Nelson,Addison's Flat,Addisons Flat,Buller County,High
Nelson,Anatimo,Anatimo,Buller County,Low
Nelson,Arapito,Arapito,Buller County,High
Nelson,Awaroa,Awaroa,Waimea County,Medium
Nelson,Blackwater Upper,Blackwater Upper,Inangahua County,High
Nelson,Brightwater (59) and River Terrace (side school) (22),Brightwater and River Terrace (side school,Waimea County,High
Nelson,Brooklyn,Brooklyn,Waimea County,High
Nelson,Clifton Terrace,Clifton Terrace,Nelson County,High
Nelson,Fairdown,Fairdown,Buller County,High
Nelson,Fern Flat,Fern Flat,Buller County,High
Nelson,Ferntown,Ferntown,Collingwood County,High
Nelson,Glenhope,Glenhope,Waimea County,Medium
Nelson,Golden Downs,Golden Downs,Nelson County,Low
Nelson,Granity (135) and Hector (side school) (40),Granity and Hector (side school,Buller County,High
Nelson,Hamama,Hamama,Waimea County,Low
Nelson,Happy Valley,Happy Valley,Nelson County,High
Nelson,Hinekaka,Hinekaka,Collingwood County,Low
Nelson,Inangahua Landing,Inangahua Landing,Inangahua County,High
Nelson,Karamea (81) and Oparara (side school) (11),Karamea and Oparara (side school,Buller County,High
Nelson,Kikiwa,Kikiwa,Waimea County,Medium
Nelson,Kiwi,Kiwi,Waimea County,Low
Nelson,Koreke,Koreke,Collingwood County,Low
Nelson,Little Grey,Little Grey,Inangahua County,High
Nelson,Little Wanganui,Little Wanganui,Buller County,High
Nelson,Longford,Longford,Buller County,Medium
Nelson,Long Plain,Long Plain,Collingwood County,Low
Nelson,McLaren's Bay,McLarens Bay,Waimea County,Medium
Nelson,Mahana,Mahana,Waimea County,Medium
Nelson,Mangarakau,Mangarakau,Collingwood County,High
