source_district,school,school_cleaned,my_county,confidence
Nelson,Mangles Valley,Mangles Valley,Buller County,Medium
Nelson,Mapua,Mapua,Waimea County,High
Nelson,Marahau,Marahau,Waimea County,High
Nelson,Matai Valley,Matai Valley,Collingwood County,Medium
Nelson,Motupiko,Motupiko,Waimea County,High
Nelson,Norris's Gully,Norriss Gully,Nelson County,Low
Nelson,Nuggety Creek,Nuggety Creek,Inangahua County,Medium
Nelson,Oparara Beach,Oparara Beach,Buller County,Medium
Nelson,Orinoco,Orinoco,Buller County,Low
Nelson,Owen Junction,Owen Junction,Buller County,High
Nelson,Pakawau,Pakawau,Collingwood County,High
Nelson,Pariwhakaho,Pariwhakaho,Nelson County,Medium
Nelson,Pigeon Valley,Pigeon Valley,Waimea County,Medium
Nelson,Pokororo,Pokororo,Waimea County,Medium
Nelson,Progress,Progress,Buller County,High
Nelson,Punakaikai,Punakaikai,Buller County,High
Nelson,Ranzau,Ranzau,Waimea County,High
Nelson,Redwood's Valley,Redwoods Valley,Nelson County,Low
Nelson,Rockville (42) and Dall's Creek (side school) (11),Rockville and Dalls Creek (side school,Collingwood County,High
Nelson,Rocky River,Rocky River,Collingwood County,Medium
Nelson,Rotokohu,Rotokohu,Buller County,Low
Nelson,Sergeant's Hill,Sergeants Hill,Inangahua County,Medium
Nelson,Sherry River,Sherry River,Waimea County,High
Nelson,Six-mile,Six-mile,Buller County,Medium
Nelson,Summerlea,Summerlea,Inangahua County,Medium
Nelson,Takaka Central,Takaka,Collingwood County,High
Nelson,Takaka Lower District High School,Takaka Lower,Collingwood County,High
Nelson,Takaka Upper,Takaka Upper,Collingwood County,High
Nelson,Tapawera,Tapawera,Waimea County,High
Nelson,Tauranga Bay,Tauranga Bay,Buller County,Medium
Nelson,Te Arowhenua,Te Arowhenua,Nelson County,Low
Nelson,Tophouse,Tophouse,Nelson County,Medium
Nelson,Tuikea,Tuikea,Collingwood County,Medium
Nelson,Tutaki,Tutaki,Buller County,Medium
Nelson,Umere,Umere,Buller County,Low
Nelson,Uruwhenua,Uruwhenua,Collingwood County,Low
Nelson,Waimea West,Waimea West,Waimea County,High
Nelson,Wairangi,Wairangi,Nelson County,Low
Nelson,Wakefield Lower,Wakefield Lower,Waimea County,High
Nelson,Will's Road,Wills Road,Buller County,Low
Otago,Airedale,Airedale,Clutha County,Low
Otago,Akatore,Akatore,Clutha County,High
Otago,Akatore Coast,Akatore Coast,Clutha County,High
Otago,Arthurton,Arthurton,Clutha County,High
Otago,Bald Hill,Bald Hill,Vincent County,High
Otago,Bendigo,Bendigo,Lake County,Medium
Otago,Berwen,Berwen,Clutha County,Low
Otago,Blacks,Blacks,Bruce County,Low
Otago,Blackstone,Blackstone,Maniototo County,High
Otago,Broad Bay,Broad Bay,Peninsula County,High
Otago,Chaslands,Chaslands,Clutha County,High
Otago,Chatto Creek,Chatto Creek,Vincent County,High
Otago,Clark's Flat,Clarks Flat,Tuapeka County,Low
Otago,Dunrobin,Dunrobin,Tuapeka County,Medium
Otago,East Taieri,East Taieri,Taieri County,High
Otago,Edievale,Edievale,Tuapeka County,High
Otago,Elderslie,Elderslie,Bruce County,Low
Otago,Evansdale,Evansdale,Waikouaiti County,Medium
Otago,Evans Flat,Evans Flat,Tuapeka County,Medium
Otago,Five Forks,Five Forks,Tuapeka County,Low
Otago,Flag Swamp,Flag Swamp,Taieri County,Medium
Otago,Glenledi,Glenledi,Clutha County,Low
Otago,Glenore,Glenore,Bruce County,Low
Otago,Greenfield,Greenfield,Waitaki County,Low
Otago,Hampden,Hampden,Waitaki County,High
Otago,Hawea,Hawea,Lake County,High
Otago,Hill Springs,Hill Springs,Waitaki County,Low
Otago,Hinahina,Hinahina,Clutha County,Low
Otago,Hindon Railway,Hindon Railway,Maniototo County,High
Otago,Hooper's Inlet,Hoopers Inlet,Peninsula County,High
Otago,Inch Valley,Inch Valley,Waitaki County,Low
Otago,Island Cliffe,Island Cliffe,Waitaki County,Medium
Otago,Kaihiku,Kaihiku,Tuapeka County,Medium
Otago,Karitane,Karitane,Waikouaiti County,High
Otago,Kartigi,Kartigi,Waitaki County,Low
Otago,Kauroo,Kauroo,Waitaki County,Medium
Otago,Killermont,Killermont,Tuapeka County,Low
Otago,Kokoano,Kokoano,Clutha County,Low
Otago,Kokonga,Kokonga,Maniototo County,High
Otago,Kuri Bush,Kuri Bush,Taieri County,High
Otago,Kuriwao,Kuriwao,Clutha County,High
Otago,Kyeburn Diggings,Kyeburn Diggings,Maniototo County,High
Otago,Lauder Railway Station,Lauder Railway Station,Maniototo County,High
Otago,Lower Harbour,Lower Harbour,Peninsula County,High
Otago,Luggate,Luggate,Lake County,High
Otago,McLennan,McLennan,Clutha County,Medium
Otago,Manuka Creek,Manuka Creek,Clutha County,Low
Otago,Matakanui,Matakanui,Maniototo County,High
Otago,Merino Downs,Merino Downs,Tuapeka County,High
Otago,Moonlight,Moonlight,Maniototo County,High
Otago,Mount Cargill,Mount Cargill,Peninsula County,High
Otago,Mount Stewart,Mount Stewart,Taieri County,Medium
Otago,Ngapuna,Ngapuna,Maniototo County,High
Otago,North East Harbour,North East Harbour,Peninsula County,High
Otago,North Taieri,North Taieri,Taieri County,High
Otago,Nugget Point,Nugget Point,Clutha County,High
Otago,Otakou,Otakou,Peninsula County,High
Otago,Otanomomo,Otanomomo,Bruce County,Medium
Otago,Otekura,Otekura,Clutha County,Medium
Otago,Otepopo,Otepopo,Waitaki County,High
Otago,Outram,Outram,Taieri County,High
Otago,Owaka Valley,Owaka Valley,Clutha County,High
Otago,Paerau,Paerau,Maniototo County,High
Otago,Papatowai,Papatowai,Clutha County,High
Otago,Popotunoa,Popotunoa,Bruce County,Medium
Otago,Port Molyneux,Port Molyneux,Clutha County,High
Otago,Pounawea,Pounawea,Clutha County,High
Otago,Pukeiwitahi,Pukeiwitahi,Bruce County,Low
Otago,Pukema,Pukema,Maniototo County,Medium
Otago,Pukepito,Pukepito,Clutha County,Low
Otago,Puketi,Puketi,Bruce County,Low
Otago,Purakauiti,Purakauiti,Waitaki County,Low
Otago,Rae's Junction,Raes Junction,Vincent County,High
Otago,Ravensbourne,Ravensbourne,Peninsula County,High
Otago,Reomoana,Reomoana,Clutha County,Low
Otago,St. Leonards,St. Leonards,Peninsula County,High
Otago,Southbridge,Southbridge,Clutha County,Low
Otago,Spottis Creek,Spottis Creek,Clutha County,Medium
Otago,Spylaw Valley,Spylaw Valley,Clutha County,Low
Otago,Stony Creek,Stony Creek,Clutha County,Low
Otago,Strath Taieri,Strath Taieri,Maniototo County,High
Otago,Table Hill,Table Hill,Taieri County,Low
Otago,Taieri Beach,Taieri Beach,Taieri County,High
Otago,Taieri Ferry,Taieri Ferry,Taieri County,High
Otago,Tapui,Tapui,Bruce County,Medium
Otago,Tarara,Tarara,Clutha County,Medium
Otago,Taumata,Taumata,Clutha County,Low
Otago,Teaneraki,Teaneraki,Waitaki County,High
Otago,Upper Junction,Upper Junction,Clutha County,Low
Otago,Waihemo,Waihemo,Waihemo County,Medium
Otago,Waikouaiti,Waikouaiti,Waikouaiti County,High
Otago,Waipori,Waipori,Taieri County,Medium
Otago,Waipori Falls,Waipori Falls,Taieri County,Medium
Otago,Waitahuna Gully,Waitahuna Gully,Tuapeka County,High
Otago,Waitaki Bridge,Waitaki Bridge,Waitaki County,Medium
Otago,Waitapeka,Waitapeka,Clutha County,Medium
Otago,Wanaka,Wanaka,Lake County,High
Otago,Wanaka Road,Wanaka Road,Lake County,Medium
Otago,Wangaloa,Wangaloa,Clutha County,Medium
Otago,Waronui,Waronui,Clutha County,Low
Otago,West Taieri,West Taieri,Taieri County,High
Otago,Wetherstones,Wetherstones,Clutha County,Low
Otago,Whare Flat,Whare Flat,Taieri County,High
Otago,Wharekuri,Wharekuri,Waihemo County,Medium
Otago,Wharetoa,Wharetoa,Clutha County,Low
Taranaki,Ackland,Ackland,Inglewood County,Low
Taranaki,Ahiti,Ahiti,Ohura County,Medium
Taranaki,Aukopae,Aukopae,Ohura County,Medium
Taranaki,Denbigh,Denbigh,Stratford County,Medium
Taranaki,Dudley,Dudley,Stratford County,High
Taranaki,Durham,Durham,Stratford County,High
Taranaki,Finnerty,Finnerty,Clifton County,Medium
Taranaki,Fraser Road,Fraser Road,Egmont County,Medium
Taranaki,Hapurua (6) and Waitewhena (5),Hapurua and Waitewhena,Clifton County,Low
Taranaki,Herangi,Herangi,Ohura County,Medium
Taranaki,Huiakama,Huiakama,Clifton County,Medium
Taranaki,Hurford,Hurford,Inglewood County,Low
Taranaki,Kahui,Kahui,Egmont County,High
Taranaki,Kaimiro,Kaimiro,Taranaki County,High
Taranaki,Kaponga,Kaponga,Eltham County,High
Taranaki,Kent,Kent,Taranaki County,Medium
Taranaki,Kiore,Kiore,Stratford County,Medium
Taranaki,Koru,Koru,Taranaki County,High
Taranaki,Mahirakau,Mahirakau,Ohura County,Medium
Taranaki,Makahu,Makahu,Stratford County,Medium
Taranaki,Manaia,Manaia,Hawera County,Medium
Taranaki,Mangahume,Mangahume,Eltham County,High
Taranaki,Mangamingi,Mangamingi,Eltham County,High
Taranaki,Mangorei Lower,Mangorei Lower,Taranaki County,High
Taranaki,Mangorei Upper,Mangorei Upper,Taranaki County,High
Taranaki,Marco,Marco,Whangamomona County,Medium
Taranaki,Matau (household),Matau (household,Clifton County,Medium
Taranaki,Mimi,Mimi,Clifton County,High
Taranaki,Mokau River,Mokau River,Clifton County,Medium
Taranaki,Mount Messenger,Mount Messenger,Clifton County,High
Taranaki,Newall,Newall,Egmont County,High
Taranaki,Nihoniho,Nihoniho,Ohura County,High
Taranaki,Norfolk,Norfolk,Stratford County,High
Taranaki,Normanby,Normanby,Hawera County,High
Taranaki,Okato,Okato,Taranaki County,Medium
Taranaki,Okoke,Okoke,Clifton County,High
Taranaki,Opunake,Opunake,Egmont County,High
Taranaki,Otangiwai,Otangiwai,Ohura County,High
Taranaki,Paraketu Valley,Paraketu Valley,Ohura County,Low
Taranaki,Pehu,Pehu,Whangamomona County,Medium
Taranaki,Piko,Piko,Stratford County,Medium
Taranaki,Pitone,Pitone,Taranaki County,Medium
Taranaki,Pukearuhe,Pukearuhe,Clifton County,High
Taranaki,Puniho,Puniho,Egmont County,High
Taranaki,Puniwhakau,Puniwhakau,Stratford County,Medium
Taranaki,Purangi,Purangi,Stratford County,High
Taranaki,Raupuha,Raupuha,Taranaki County,Low
Taranaki,Rotokare,Rotokare,Eltham County,Medium
Taranaki,Rowan,Rowan,Egmont County,Medium
Taranaki,Stanley,Stanley,Stratford County,High
Taranaki,Tatu,Tatu,Ohura County,Medium
Taranaki,Tokirima Road,Tokirima Road,Ohura County,High
Taranaki,Tuna,Tuna,Stratford County,Medium
Taranaki,Tututawa,Tututawa,Whangamomona County,Medium
Taranaki,Waitaanga,Waitaanga,Whangamomona County,Medium
Taranaki,Waitewhena (half-time) See under Hapurua,Waitewhena,Clifton County,Medium
Taranaki,York,York,Clifton County,Medium
Wanganui,Aratika,Aratika,Wanganui County,Low
Wanganui,Awahou,Awahou,Kiwitea County,Medium
Wanganui,Awahou South,Awahou South,Kiwitea County,Medium
Wanganui,Bainesse,Bainesse,Kiwitea County,High
Wanganui,Bluff Road,Bluff Road,Wanganui County,Low
Wanganui,Bull's District High School Primary (127) Secondary (12),Bulls,Rangitikei County,High
Wanganui,Carnarvon,Carnarvon,Oroua County,Medium
Wanganui,Durie Hill,Durie Hill,Wanganui County,Medium
Wanganui,Fitzherbert East,Fitzherbert East,Kairanga County,Medium
Wanganui,Halcombe,Halcombe,Oroua County,High
Wanganui,Herrington (side school) See under Umumuri,Herrington (side school,Wanganui County,High
Wanganui,Hiwinui,Hiwinui,Kiwitea County,Medium
Wanganui,Hukapapa,Hukapapa,Rangitikei County,Low
Wanganui,Hunterville District High School Primary (129) Secondary (14),Hunterville,Rangitikei County,High
Wanganui,Kaheke,Kaheke,Wanganui County,Low
Wanganui,Kaitieke,Kaitieke,Kaitieke County,High
Wanganui,Kaitoke,Kaitoke,Wanganui County,High
Wanganui,Kakariki,Kakariki,Rangitikei County,High
Wanganui,Kelvin Grove,Kelvin Grove,Kairanga County,High
Wanganui,Kimbolton,Kimbolton,Kiwitea County,Medium
Wanganui,Kiwitea,Kiwitea,Kiwitea County,High
Wanganui,Koeke,Koeke,Rangitikei County,High
Wanganui,Lacy's Landing,Lacys Landing,Wanganui County,Low
Wanganui,Main South Road,Main South Road,Wanganui County,Low
Wanganui,Makino Road,Makino Road,Oroua County,Medium
Wanganui,Makohine Valley,Makohine Valley,Rangitikei County,Medium
Wanganui,Mangarimu,Mangarimu,Rangitikei County,High
Wanganui,Mangatiti Landing,Mangatiti Landing,Wanganui County,Low
Wanganui,Mangaweka,Mangaweka,Rangitikei County,High
Wanganui,Manunui,Manunui,Kaitieke County,Medium
Wanganui,Maxwell,Maxwell,Wanganui County,Medium
Wanganui,Nukumaru,Nukumaru,Waitotara County,Low
Wanganui,Opaku,Opaku,Patea County,Medium
Wanganui,Orautoha,Orautoha,Wanganui County,Low
Wanganui,Pohonui,Pohonui,Wanganui County,Low
Wanganui,Pokako,Pokako,Rangitikei County,Low
Wanganui,Poukiore,Poukiore,Wanganui County,Low
Wanganui,Pukekaha,Pukekaha,Kiwitea County,Low
Wanganui,Pukeokahu,Pukeokahu,Rangitikei County,Low
Wanganui,Raetihi,Raetihi,Waimarino County,High
Wanganui,Rangataua,Rangataua,Waimarino County,High
Wanganui,Rata-iti,Rata-iti,Rangitikei County,Low
Wanganui,Retaruke,Retaruke,Kaitieke County,Low
Wanganui,Rewa,Rewa,Wanganui County,Low
Wanganui,Rongotea,Rongotea,Rangitikei County,Medium
Wanganui,Ruahine,Ruahine,Rangitikei County,Low
Wanganui,Ruatiti,Ruatiti,Waimarino County,High
Wanganui,South Makirikiri,South Makirikiri,Wanganui County,High
Wanganui,Stoney Creek,Stoney Creek,Oroua County,Medium
Wanganui,Taihape District High School Primary (296) Secondary (18) and Winiata (side school) (17),Taihape,Rangitikei County,High
Wanganui,Tangiwai,Tangiwai,Waimarino County,Medium
Wanganui,Taoroa Road,Taoroa Road,Rangitikei County,High
Wanganui,Te Ara-Kura,Te Ara-Kura,Wanganui County,Low
Wanganui,Te Rena,Te Rena,Wanganui County,Low
Wanganui,Tiakitahuna,Tiakitahuna,Kairanga County,Medium
Wanganui,Tiritea,Tiritea,Kairanga County,Medium
Wanganui,Torere,Torere,Wanganui County,Low
Wanganui,Tunakotekote,Tunakotekote,Wanganui County,Low
Wanganui,Umumuri (81) and Herrington (side school) (14),Umumuri and Herrington (side school,Wanganui County,Medium
Wanganui,Upokongaro,Upokongaro,Wanganui County,High
Wanganui,Upper Kawhatau,Upper Kawhatau,Kiwitea County,Medium
Wanganui,Upper Retaruke,Upper Retaruke,Kaitieke County,Low
Wanganui,Upper Tutaenui,Upper Tutaenui,Rangitikei County,High
Wanganui,Warrengate,Warrengate,Kairanga County,Low
Wanganui,Waverley,Waverley,Patea County,Medium
Wanganui,Western Rangitikei,Western Rangitikei,Rangitikei County,Medium
Wanganui,Whaka Road,Whaka Road,Wanganui County,Low
Wanganui,Winiata (side school) see under Taihape,Winiata (side school,Rangitikei County,High
Wellington,Blind River,Blind River,Awatere County,Medium
Wellington,Brancott,Brancott,Marlborough County,Medium
Wellington,Carluke,Carluke,Marlborough County,High
Wellington,Dillon's Point,Dillons Point,Marlborough County,Medium
Wellington,Eli Bay,Eli Bay,Sounds County,Medium
Wellington,Fabian's Valley,Fabians Valley,Marlborough County,Medium
Wellington,Fairhall,Fairhall,Marlborough County,High
Wellington,Finnie's Creek,Finnies Creek,Marlborough County,Low
Wellington,Four-fathom Bay,Four-fathom Bay,Sounds County,Low
Wellington,French Pass,French Pass,Sounds County,High
Wellington,Havelock,Havelock,Marlborough County,High
Wellington,Hillersden,Hillersden,Marlborough County,Medium
Wellington,Jordan,Jordan,Awatere County,High
Wellington,Kaiuma,Kaiuma,Sounds County,Medium
Wellington,Kakapou Bay,Kakapou Bay,Sounds County,Low
Wellington,Kekerangu,Kekerangu,Awatere County,High
Wellington,Koromiko,Koromiko,Sounds County,High
Wellington,Linkwater,Linkwater,Sounds County,High
Wellington,Maori Bay,Maori Bay,Sounds County,Low
Wellington,Marathon,Marathon,Sounds County,Low
Wellington,Marlboroughtown,Marlboroughtown,Marlborough County,High
Wellington,Ocean Bay,Ocean Bay,Sounds County,Medium
Wellington,Onamalutu,Onamalutu,Marlborough County,High
Wellington,Pelorus Bridge,Pelorus Bridge,Marlborough County,Medium
Wellington,Renwick,Renwick,Marlborough County,High
Wellington,Richmond Brook,Richmond Brook,Marlborough County,High
Wellington,Riverlands,Riverlands,Marlborough County,Medium
Wellington,Ronga Valley,Ronga Valley,Sounds County,Low
Wellington,Saratoga Bay,Saratoga Bay,Sounds County,Low
Wellington,Sea View,Sea View,Awatere County,Medium
Wellington,Stephens Island,Stephens Island,Sounds County,Low
Wellington,Te Rou,Te Rou,Sounds County,Low
Wellington,Ugbrooke,Ugbrooke,Awatere County,Medium
Wellington,Upton Downs,Upton Downs,Awatere County,Low
Wellington,Wairau Bar,Wairau Bar,Marlborough County,Medium
Wellington,Wairau Pa,Wairau Pa,Marlborough County,Medium
Wellington,Wantwood,Wantwood,Marlborough County,Medium
Wellington,Wharanui,Wharanui,Awatere County,Medium
Wellington,Woodbank,Woodbank,Marlborough County,Low
Wellington,East Taratahi,East Taratahi,Wairarapa South County,Medium
Wellington,Ponatahi,Ponatahi,Wairarapa South County,Medium
Wellington,Horoeka,Horoeka,Eketahuna County,Medium
Wellington,Waione,Waione,Eketahuna County,Low
Wellington,Kaiparoro,Kaiparoro,Eketahuna County,Medium
Wellington,Mangamahoe,Mangamahoe,Eketahuna County,Low
Wellington,Mangaone,Mangaone,Eketahuna County,Low
Wellington,Putara,Putara,Pahiatua County,Low
Wellington,Saunders Road,Saunders Road,Eketahuna County,Low
Wellington,Tane,Tane,Eketahuna County,Low
Wellington,Waihoki Valley,Waihoki Valley,Eketahuna County,Low
Wellington,Kahautara,Kahautara,Featherston County,Medium
Wellington,Kaiwaiwai,Kaiwaiwai,Featherston County,High
Wellington,South Featherston,South Featherston,Featherston County,Medium
Wellington,Eastern Hutt,Eastern Hutt,Hutt County,Medium
Wellington,Muhunoa East,Muhunoa East,Horowhenua County,Medium
Wellington,Dyer,Dyer,Wairarapa South County,Low
Wellington,Martinborough,Martinborough,Wairarapa South County,High
Wellington,Tablelands,Tablelands,Wairarapa South County,Low
Wellington,Dreyers Rock,Dreyers Rock,Mauriceville County,High
Wellington,Fernridge,Fernridge,Masterton County,Medium
Wellington,Mangapakeha,Mangapakeha,Castlepoint County,Low
Wellington,Mauriceville West,Mauriceville West,Mauriceville County,High
Wellington,Mikimiki,Mikimiki,Masterton County,High
Wellington,Poroporo,Poroporo,Masterton County,Low
Wellington,Te Wharau,Te Wharau,Masterton County,High
Wellington,Te Whiti,Te Whiti,Masterton County,Low
Wellington,Waingawa,Waingawa,Masterton County,High
Wellington,Whareama,Whareama,Castlepoint County,Medium
Wellington,Hinemoa,Hinemoa,Pahiatua County,Low
Wellington,Kakariki,Kakariki,Pahiatua County,Medium
Wellington,Kohiku,Kohiku,Pahiatua County,Low
Wellington,Korora (14) and Pukehinau (19),Korora and Pukehinau,Pahiatua County,Medium
Wellington,Makairo,Makairo,Pahiatua County,Low
Wellington,Makomako,Makomako,Pahiatua County,Medium
Wellington,Maungahao,Maungahao,Pahiatua County,Low
Wellington,Marima,Marima,Pahiatua County,Low
Wellington,Ngaturi,Ngaturi,Pahiatua County,Medium
Wellington,Nikau,Nikau,Pahiatua County,Low
Wellington,Puketoi,Puketoi,Pahiatua County,Low
Wellington,Black Rock,Black Rock,Sounds County,Low
Wellington,Coniston,Coniston,Sounds County,Low
Wellington,Endeavour Inlet,Endeavour Inlet,Sounds County,High
Wellington,Fitzroy Bay,Fitzroy Bay,Sounds County,Low
Wellington,Havelock Surburban,Havelock Surburban,Marlborough County,Medium
Wellington,Hitaua,Hitaua,Sounds County,Low
Wellington,Hurituni,Hurituni,Sounds County,Low
Wellington,Maude Island,Maude Island,Sounds County,High
Wellington,Nopera Bay,Nopera Bay,Sounds County,Low
Wellington,Ohana,Ohana,Sounds County,Low
Wellington,Onauku,Onauku,Sounds County,Medium
Wellington,Resolution Bay,Resolution Bay,Sounds County,High
Wellington,Rocks,Rocks,Sounds County,Low
Wellington,Te Weka,Te Weka,Sounds County,Medium
Wellington,Tira Ora,Tira Ora,Sounds County,Low
Wellington,Waikawa Pah,Waikawa Pah,Sounds County,Medium
Wellington,Waitaria,Waitaria,Sounds County,Medium
Wellington,Whareatea Bay,Whareatea Bay,Sounds County,Low
Wellington,Wharehunga,Wharehunga,Sounds County,Low
Wellington,Akaroa Road,Akaroa Road,Akitio County,Low
Wellington,Bulwer,Bulwer,Sounds County,High
Wellington,Castlepoint,Castlepoint,Castlepoint County,High
Wellington,Catherine's Cove,Catherines Cove,Sounds County,Low
Wellington,Kaitoke,Kaitoke,Hutt County,High
Wellington,Karapoti,Karapoti,Hutt County,Low
Wellington,Korokoro North,Korokoro North,Hutt County,High
Wellington,Makerua,Makerua,Horowhenua County,Medium
Wellington,Mangaroa,Mangaroa,Hutt County,High
Wellington,Ngamuka,Ngamuka,Sounds County,Low
Wellington,Pahautanui,Pahautanui,Makara County,Medium
Wellington,Pukatea Bay,Pukatea Bay,Sounds County,Low
Wellington,St. Lawerence,St. Lawerence,Sounds County,Low
Wellington,Stokes Valley,Stokes Valley,Hutt County,High
Wellington,Te Marua,Te Marua,Hutt County,Medium
Wellington,Upper Hutt,Upper Hutt,Hutt County,High
Wellington,Waikawa Bay,Waikawa Bay,Sounds County,Medium
Wellington,Wallaceville,Wallaceville,Hutt County,High
Southland,Ardlussa,Ardlussa,Southland County,Medium
Southland,Arthur's Point,Arthurs Point,Lake County,High
Southland,Awarua Plains,Awarua Plains,Southland County,High
Southland,Caroline,Caroline,Wallace County,High
Southland,Chatton North,Chatton North,Southland County,High
Southland,Crown Terrace,Crown Terrace,Lake County,High
Southland,Croydon,Croydon,Southland County,High
Southland,Daere,Daere,Southland County,Medium
Southland,Eastern Bush,Eastern Bush,Wallace County,High
Southland,East Limehills,East Limehills,Southland County,High
Southland,Edendale,Edendale,Southland County,High
Southland,Elderslie,Elderslie,Southland County,High
Southland,Ermedale,Ermedale,Wallace County,High
Southland,Etavale,Etavale,Wallace County,Low
Southland,Etavale No.2,Etavale No.2,Wallace County,Low
Southland,Feldwick,Feldwick,Wallace County,High
Southland,Ferndale,Ferndale,Southland County,High
Southland,Ferndunlaw,Ferndunlaw,Wallace County,High
Southland,Fernhills,Fernhills,Wallace County,Medium
Southland,Five Rivers Siding,Five Rivers Siding,Southland County,High
Southland,Forest Hill North,Forest Hill North,Southland County,High
Southland,Gibbston,Gibbston,Lake County,High
Southland,Gladfield,Gladfield,Wallace County,High
Southland,Glencoe,Glencoe,Southland County,High
Southland,Glen Dhu,Glen Dhu,Southland County,Low
Southland,Haldane,Haldane,Southland County,Medium
Southland,Hamilton Burn,Hamilton Burn,Wallace County,High
Southland,Happy Valley,Happy Valley,Wallace County,High
Southland,Hedgehope Lower,Hedgehope Lower,Southland County,High
Southland,Hedgehope Upper,Hedgehope Upper,Southland County,High
Southland,Holmesdale,Holmesdale,Wallace County,High
Southland,Kapuka South,Kapuka South,Southland County,Medium
Southland,Key,Key,Fiord County,Medium
Southland,Kingston,Kingston,Lake County,High
Southland,Kinlock,Kinlock,Lake County,High
Southland,Limestone Plains,Limestone Plains,Southland County,Medium
Southland,Longridge Village,Longridge Village,Southland County,High
Southland,Lumsden,Lumsden,Southland County,High
Southland,Mabel,Mabel,Southland County,High
Southland,Maitland Village,Maitland Village,Southland County,High
Southland,Makarewa North,Makarewa North,Southland County,High
Southland,Merrivale,Merrivale,Wallace County,High
Southland,Mimihau,Mimihau,Southland County,Medium
Southland,Morton Mains siding,Morton Mains siding,Southland County,High
Southland,Motu Rimu,Motu Rimu,Southland County,High
Southland,Mount Alfred,Mount Alfred,Lake County,High
Southland,Mount Aspiring,Mount Aspiring,Lake County,High
Southland,New River Ferry,New River Ferry,Southland County,High
Southland,Niagara,Niagara,Southland County,Medium
Southland,Oraki,Oraki,Wallace County,High
Southland,Oreti Plains,Oreti Plains,Southland County,High
Southland,Otahau,Otahau,Wallace County,High
Southland,Otautau,Otautau,Wallace County,High
Southland,Oteramika,Oteramika,Southland County,Medium
Southland,Oteramika Gorge,Oteramika Gorge,Southland County,Medium
Southland,Pyramid Siding,Pyramid Siding,Southland County,Medium
Southland,Quarry Hills (12) and Waikawa Valley (14),Quarry Hills and Waikawa Valley,Southland County,Medium
Southland,Redan,Redan,Southland County,Low
Southland,Roslyn Bush,Roslyn Bush,Southland County,High
Southland,Sandstone,Sandstone,Southland County,High
Southland,"Shotover, Lower",Shotover,Lake County,High
Southland,Springhills,Springhills,Southland County,High
Southland,St. George,St. George,Southland County,Low
Southland,Taramoa,Taramoa,Southland County,High
Southland,Taunoa,Taunoa,Wallace County,High
Southland,Te Anau,Te Anau,Fiord County,High
Southland,Titipua,Titipua,Southland County,High
Southland,Waikawa Valley (see under Quarry Hill),Waikawa Valley (see under Quarry Hill,Southland County,High
Southland,Waikouro,Waikouro,Wallace County,High
Southland,Waipounamu,Waipounamu,Southland County,Medium
Southland,Wairaki,Wairaki,Wallace County,High
Southland,Wairekiki,Wairekiki,Wallace County,Medium
Southland,Wendon Valley,Wendon Valley,Southland County,Medium
Southland,Whitehead,Whitehead,Wallace County,Low
Southland,Wyndham,Wyndham,Southland County,Medium
Southland,Wyndham South,Wyndham South,Southland County,Medium
