geo_unit,Agricultural,Commercial,Domestic,Industrial,Professional,Transport,Indefinite,sex
BR00001,0.3465909090909091,0.14204545454545456,0.028409090909090908,0.2727272727272727,0.06818181818181818,0.11363636363636363,0.028409090909090908,male
BR00002,0.34328358208955223,0.13930348258706468,0.029850746268656716,0.2736318407960199,0.06965174129353234,0.11442786069651742,0.029850746268656716,male
BR00003,0.34782608695652173,0.14130434782608695,0.03260869565217391,0.2717391304347826,0.06521739130434782,0.10869565217391304,0.03260869565217391,male
BR00004,0.3460431654676259,0.13956834532374102,0.02877697841726619,0.2733812949640288,0.06978417266187051,0.11294964028776978,0.029496402877697843,male
BR00005,0.34588486140724944,0.13940298507462687,0.02861407249466951,0.2733049040511727,0.06980810234541578,0.1133049040511727,0.029680170575692964,male
BR00006,0.3459715639810427,0.13981042654028436,0.02843601895734597,0.2725118483412322,0.06872037914691943,0.11374407582938388,0.030805687203791468,male
BR00007,0.3467966573816156,0.1392757660167131,0.02924791086350975,0.27298050139275765,0.06963788300835655,0.11281337047353761,0.02924791086350975,male
BR00008,0.3458167330677291,0.1394422310756972,0.028685258964143426,0.2733067729083665,0.0701195219123506,0.11314741035856574,0.02948207171314741,male
BR00009,0.34557235421166305,0.14038876889848811,0.028077753779697623,0.27429805615550756,0.06911447084233262,0.11231101511879049,0.03023758099352052,male
BR00010,0.345679012345679,0.1419753086419753,0.030864197530864196,0.2716049382716049,0.06790123456790123,0.1111111111111111,0.030864197530864196,male
BR00011,0.3456998313659359,0.1399662731871838,0.02866779089376054,0.27318718381112983,0.06913996627318718,0.11298482293423272,0.03035413153456998,male
BR00012,0.3448979591836735,0.13877551020408163,0.02857142857142857,0.27346938775510204,0.06938775510204082,0.11428571428571428,0.030612244897959183,male
BR00013,0.3458976609696907,0.13941240254040377,0.02860535963236433,0.2732999432023545,0.06980946971652811,0.11328548561986886,0.029689678318789693,male
BR00014,0.34502923976608185,0.14035087719298245,0.029239766081871343,0.27485380116959063,0.07017543859649122,0.1111111111111111,0.029239766081871343,male
BR00015,0.3458844133099825,0.13922942206654992,0.028896672504378284,0.2732049036777583,0.07005253940455342,0.11295971978984239,0.0297723292469352,male
BR00016,0.34576271186440677,0.13898305084745763,0.0288135593220339,0.27288135593220336,0.06949152542372881,0.1135593220338983,0.030508474576271188,male
BR00017,0.3456495828367104,0.1394517282479142,0.028605482717520857,0.27334127930075486,0.06992451330949544,0.11323003575685339,0.029797377830750895,male
BR00018,0.34588588588588587,0.1393993993993994,0.02858858858858859,0.2733333333333333,0.0697897897897898,0.11327327327327327,0.02972972972972973,male
BR00019,0.34615384615384615,0.13942307692307693,0.028846153846153848,0.27403846153846156,0.06971153846153846,0.11298076923076923,0.028846153846153848,male
BR00020,0.34615384615384615,0.13846153846153847,0.026923076923076925,0.27307692307692305,0.06923076923076923,0.11538461538461539,0.03076923076923077,male
BR00021,0.3466003316749585,0.13930348258706468,0.028192371475953566,0.2736318407960199,0.06965174129353234,0.11276948590381426,0.029850746268656716,male
BR00022,0.34516129032258064,0.13870967741935483,0.02903225806451613,0.27419354838709675,0.07096774193548387,0.11290322580645161,0.02903225806451613,male
BR00023,0.3458929917106255,0.13941220798794274,0.028636021100226075,0.27354935945742276,0.07008289374529013,0.11303692539562923,0.0293896006028636,male
BR00024,0.34615384615384615,0.1396761133603239,0.02834008097165992,0.2732793522267207,0.06882591093117409,0.11336032388663968,0.030364372469635626,male
BR00025,0.3467153284671533,0.1386861313868613,0.029197080291970802,0.2737226277372263,0.06934306569343066,0.11313868613138686,0.029197080291970802,male
BR00026,0.34598765432098766,0.13950617283950617,0.028703703703703703,0.27314814814814814,0.06975308641975309,0.11327160493827161,0.02962962962962963,male
BR00027,0.3456904541241891,0.13994439295644115,0.028730305838739572,0.27340129749768305,0.06950880444856349,0.11306765523632993,0.029657089898053754,male
BR00028,0.3463587921847247,0.13854351687388988,0.028419182948490232,0.27353463587921845,0.06927175843694494,0.11367673179396093,0.03019538188277087,male
BR00029,0.3462532299741602,0.13953488372093023,0.028423772609819122,0.27325581395348836,0.06976744186046512,0.11304909560723514,0.029715762273901807,male
BR00030,0.3465909090909091,0.13920454545454544,0.028409090909090908,0.2727272727272727,0.07102272727272728,0.11363636363636363,0.028409090909090908,male
BR00031,0.34587597832630945,0.13937387116195063,0.028597230583985552,0.2733293196869356,0.06983744732089103,0.11318482841661649,0.029801324503311258,male
BR00032,0.34782608695652173,0.14130434782608695,0.03260869565217391,0.2717391304347826,0.06521739130434782,0.10869565217391304,0.03260869565217391,male
BR00033,0.3459399332591769,0.13941416388579903,0.028550241008527995,0.2732665925101965,0.06970708194289951,0.11345939933259176,0.029662588060808306,male
BR00034,0.345718901453958,0.13974151857835218,0.02827140549273021,0.2738287560581583,0.06946688206785137,0.11308562197092084,0.02988691437802908,male
BR00035,0.3454810495626822,0.13994169096209913,0.029154518950437316,0.2725947521865889,0.06997084548104957,0.11370262390670553,0.029154518950437316,male
BR00036,0.3468208092485549,0.13872832369942195,0.028901734104046242,0.2745664739884393,0.06936416184971098,0.11271676300578035,0.028901734104046242,male
BR00037,0.34590493193483596,0.13947779513501452,0.02856505244365097,0.2731533139924124,0.06985047980361526,0.11336755188573978,0.029680874804731087,male
BR00038,0.3463687150837989,0.13966480446927373,0.027932960893854747,0.2737430167597765,0.06890130353817504,0.11359404096834265,0.0297951582867784,male
BR00039,0.345679012345679,0.13991769547325103,0.02880658436213992,0.2736625514403292,0.06995884773662552,0.11316872427983539,0.02880658436213992,male
BR00040,0.34623217922606925,0.1384928716904277,0.028513238289205704,0.2729124236252546,0.06924643584521385,0.11405295315682282,0.03054989816700611,male
BR00041,0.3466666666666667,0.14,0.02666666666666667,0.2733333333333333,0.07333333333333333,0.11333333333333333,0.02666666666666667,male
BR00042,0.3480392156862745,0.13725490196078433,0.029411764705882353,0.27450980392156865,0.06862745098039216,0.11274509803921569,0.029411764705882353,male
BR00043,0.34536082474226804,0.13917525773195877,0.029209621993127148,0.27319587628865977,0.070446735395189,0.1134020618556701,0.029209621993127148,male
BR00044,0.34603930911256703,0.13936867182846932,0.02858844550327576,0.2733770101250744,0.06968433591423466,0.11316259678379988,0.029779630732578916,male
BR00045,0.34590616375344985,0.13983440662373506,0.028518859245630176,0.2732290708371665,0.06991720331186753,0.11315547378104876,0.029438822447102116,male
BR00046,0.3450520833333333,0.13932291666666666,0.028645833333333332,0.2734375,0.0703125,0.11328125,0.029947916666666668,male
BR00047,0.3459860383944154,0.13917975567190227,0.028795811518324606,0.2731239092495637,0.06980802792321117,0.11343804537521815,0.029668411867364748,male
BR00048,0.34513274336283184,0.13864306784660768,0.029498525073746312,0.2743362831858407,0.07079646017699115,0.11209439528023599,0.029498525073746312,male
BR00049,0.34536082474226804,0.13917525773195877,0.028350515463917526,0.27319587628865977,0.06958762886597938,0.1134020618556701,0.030927835051546393,male
BR00050,0.34564643799472294,0.13984168865435356,0.029023746701846966,0.27440633245382584,0.06860158311345646,0.11345646437994723,0.029023746701846966,male
BR00051,0.3466135458167331,0.1394422310756972,0.027888446215139442,0.2729083665338645,0.0697211155378486,0.11354581673306773,0.029880478087649404,male
BR00052,0.3459715639810427,0.13981042654028436,0.02843601895734597,0.2725118483412322,0.06872037914691943,0.11374407582938388,0.030805687203791468,male
BR00053,0.34583461420227485,0.13925607131878268,0.02858899477405472,0.2732861973562865,0.06978173993237012,0.11343375345834614,0.029818628957885028,male
BR00054,0.34595238095238096,0.1392857142857143,0.02857142857142857,0.2733333333333333,0.06976190476190476,0.11333333333333333,0.02976190476190476,male
BR00055,0.3459059441394127,0.13941274767247552,0.028646455001193602,0.2733349248030556,0.06970637383623776,0.113392217713058,0.029601336834566724,male
BR00056,0.34285714285714286,0.14285714285714285,0.02857142857142857,0.2714285714285714,0.07142857142857142,0.11428571428571428,0.02857142857142857,male
BR00057,0.3458646616541353,0.1394736842105263,0.02857142857142857,0.2733082706766917,0.06992481203007518,0.11315789473684211,0.029699248120300753,male
BR00058,0.34532374100719426,0.1393884892086331,0.02877697841726619,0.2733812949640288,0.07014388489208633,0.11330935251798561,0.029676258992805755,male
BR00059,0.3458492226459372,0.139337048987973,0.028747433264887063,0.2733939571721913,0.06981519507186858,0.11322968612496333,0.029627456732179525,male
BR00060,0.34650112866817157,0.1399548532731377,0.028216704288939052,0.27313769751693,0.06997742663656885,0.11286681715575621,0.029345372460496615,male
BR00061,0.34579439252336447,0.14018691588785046,0.028037383177570093,0.27414330218068533,0.06853582554517133,0.11214953271028037,0.03115264797507788,male
BR00062,0.3452991452991453,0.14017094017094017,0.02905982905982906,0.27350427350427353,0.07008547008547009,0.11282051282051282,0.02905982905982906,male
BR00063,0.3457090687766281,0.1393791844187462,0.028606208155812538,0.2732805842970176,0.06999391357273281,0.11320754716981132,0.02982349360925137,male
BR00064,0.34497816593886466,0.13973799126637554,0.028384279475982533,0.27292576419213976,0.06986899563318777,0.11353711790393013,0.03056768558951965,male
BR00065,0.3458128078817734,0.1394088669950739,0.02857142857142857,0.2733990147783251,0.06995073891625615,0.11330049261083744,0.029556650246305417,male
BR00066,0.34523809523809523,0.13988095238095238,0.02976190476190476,0.27380952380952384,0.06845238095238096,0.1130952380952381,0.02976190476190476,male
BR00067,0.34572490706319703,0.14002478314745972,0.028500619578686492,0.2738537794299876,0.06939281288723669,0.1127633209417596,0.02973977695167286,male
BR00068,0.34394904458598724,0.14012738853503184,0.028662420382165606,0.27388535031847133,0.07006369426751592,0.11464968152866242,0.028662420382165606,male
BR00069,0.3459915611814346,0.13924050632911392,0.029535864978902954,0.2721518987341772,0.06962025316455696,0.11392405063291139,0.029535864978902954,male
BR00070,0.34536082474226804,0.13917525773195877,0.028350515463917526,0.27319587628865977,0.06958762886597938,0.1134020618556701,0.030927835051546393,male
BR00071,0.3472803347280335,0.13807531380753138,0.029288702928870293,0.2719665271966527,0.07112970711297072,0.11297071129707113,0.029288702928870293,male
BR00072,0.34591194968553457,0.13944914335285188,0.028627195836044242,0.27325959661678595,0.06983300802428974,0.11320754716981132,0.029711559314682282,male
BR00073,0.3468208092485549,0.13872832369942195,0.028901734104046242,0.2745664739884393,0.06936416184971098,0.11271676300578035,0.028901734104046242,male
BR00074,0.3458904109589041,0.13955479452054795,0.02868150684931507,0.2731164383561644,0.06977739726027397,0.1134417808219178,0.029537671232876712,male
BR00075,0.3462532299741602,0.13953488372093023,0.028423772609819122,0.2739018087855297,0.06976744186046512,0.11369509043927649,0.028423772609819122,male
BR00076,0.34584450402144773,0.13941018766756033,0.028150134048257374,0.2734584450402145,0.06970509383378017,0.11394101876675604,0.029490616621983913,male
BR00077,0.3463687150837989,0.13966480446927373,0.027932960893854747,0.2737430167597765,0.06890130353817504,0.11359404096834265,0.0297951582867784,male
BR00078,0.3474178403755869,0.14084507042253522,0.028169014084507043,0.27230046948356806,0.07042253521126761,0.11267605633802817,0.028169014084507043,male
BR00079,0.3454231433506045,0.13989637305699482,0.02936096718480138,0.27288428324697755,0.0690846286701209,0.11398963730569948,0.02936096718480138,male
BR00080,0.34615384615384615,0.1388888888888889,0.028846153846153848,0.27350427350427353,0.06944444444444445,0.11324786324786325,0.029914529914529916,male
BR00081,0.3468013468013468,0.13804713804713806,0.026936026936026935,0.2727272727272727,0.0707070707070707,0.11447811447811448,0.030303030303030304,male
BR00082,0.3469387755102041,0.13877551020408163,0.02857142857142857,0.27346938775510204,0.06938775510204082,0.11428571428571428,0.02857142857142857,male
BR00083,0.34965034965034963,0.13986013986013987,0.027972027972027972,0.2727272727272727,0.06993006993006994,0.11188811188811189,0.027972027972027972,male
BR00084,0.346393588601959,0.13980409617097062,0.028495102404274265,0.27337488869100623,0.06945681211041853,0.11308993766696349,0.029385574354407838,male
BR00085,0.34513274336283184,0.1415929203539823,0.02654867256637168,0.2743362831858407,0.07079646017699115,0.11504424778761062,0.02654867256637168,male
BR00086,0.3464566929133858,0.13910761154855644,0.028871391076115485,0.27296587926509186,0.07086614173228346,0.11286089238845144,0.028871391076115485,male
BR00087,0.3468013468013468,0.13804713804713806,0.026936026936026935,0.2727272727272727,0.0707070707070707,0.11447811447811448,0.030303030303030304,male
BR00088,0.3459552495697074,0.13941480206540446,0.02868617326448652,0.27309236947791166,0.0699942627653471,0.11302352266207688,0.02983362019506598,male
BR00089,0.3463626492942454,0.14006514657980457,0.02823018458197611,0.2736156351791531,0.06948968512486428,0.11292073832790445,0.029315960912052116,male
BR00090,0.3458823529411765,0.14,0.02823529411764706,0.2741176470588235,0.06941176470588235,0.11294117647058824,0.029411764705882353,male
BR00091,0.3469721767594108,0.13911620294599017,0.027823240589198037,0.2733224222585925,0.07037643207855974,0.11292962356792144,0.029459901800327332,male
BR00092,0.34611953612845675,0.1391614629794826,0.028545941123996433,0.27386262265834077,0.0695807314897413,0.11329170383586083,0.029438001784121322,male
BR00093,0.34782608695652173,0.14130434782608695,0.03260869565217391,0.2717391304347826,0.06521739130434782,0.10869565217391304,0.03260869565217391,male
BR00094,0.346031746031746,0.13968253968253969,0.02857142857142857,0.273015873015873,0.06984126984126984,0.1126984126984127,0.03015873015873016,male
BR00095,0.34627329192546585,0.13975155279503104,0.027950310559006212,0.2732919254658385,0.06987577639751552,0.11335403726708075,0.029503105590062112,male
BR00096,0.34590163934426227,0.13934426229508196,0.027868852459016394,0.27377049180327867,0.07049180327868852,0.11311475409836065,0.029508196721311476,male
BR00097,0.34545454545454546,0.13863636363636364,0.029545454545454545,0.2727272727272727,0.07045454545454545,0.11363636363636363,0.029545454545454545,male
BR00098,0.345565749235474,0.13914373088685014,0.0290519877675841,0.27370030581039756,0.07033639143730887,0.11314984709480122,0.0290519877675841,male
BR00099,0.34545454545454546,0.1393939393939394,0.028282828282828285,0.2727272727272727,0.0707070707070707,0.11313131313131314,0.030303030303030304,male
BR00100,0.34559884559884557,0.13924963924963926,0.02886002886002886,0.27344877344877344,0.06998556998556998,0.11327561327561328,0.02958152958152958,male
BR00101,0.34583645911477867,0.13953488372093023,0.028507126781695424,0.2733183295823956,0.06976744186046512,0.11327831957989497,0.02975743935983996,male
BR00102,0.34612031386224934,0.13949433304272013,0.02877070619006103,0.2728857890148213,0.06974716652136007,0.11333914559721012,0.02964254577157803,male
BR00103,0.3433734939759036,0.13855421686746988,0.030120481927710843,0.2710843373493976,0.07228915662650602,0.1144578313253012,0.030120481927710843,male
BR00104,0.34551495016611294,0.13953488372093023,0.02823920265780731,0.27408637873754155,0.06976744186046512,0.11295681063122924,0.029900332225913623,male
BR00105,0.3463855421686747,0.13855421686746988,0.02710843373493976,0.2740963855421687,0.06927710843373494,0.1144578313253012,0.030120481927710843,male
BR00106,0.3464373464373464,0.14004914004914004,0.029484029484029485,0.2727272727272727,0.0687960687960688,0.11302211302211303,0.029484029484029485,male
BR00107,0.34587813620071683,0.13978494623655913,0.02867383512544803,0.2724014336917563,0.06989247311827956,0.11290322580645161,0.03046594982078853,male
BR00108,0.34549356223175964,0.13948497854077252,0.027896995708154508,0.27253218884120173,0.07081545064377683,0.11373390557939914,0.030042918454935622,male
BR00109,0.34596375617792424,0.1394151565074135,0.028624382207578253,0.2732701812191104,0.06981054365733114,0.11326194398682043,0.029654036243822075,male
BR00110,0.345908567038033,0.13941605839416057,0.028582404917402996,0.2733000384172109,0.06980407222435651,0.11329235497502882,0.029696504033807147,male
BR00111,0.34575569358178054,0.13871635610766045,0.028985507246376812,0.2732919254658385,0.07039337474120083,0.11387163561076605,0.028985507246376812,male
BR00112,0.34612105711849955,0.13895993179880647,0.028985507246376812,0.2728047740835465,0.06990622335890878,0.113384484228474,0.029838022165387893,male
BR00113,0.34530938123752497,0.13972055888223553,0.027944111776447105,0.27345309381237526,0.06986027944111776,0.11377245508982035,0.029940119760479042,male
BR00114,0.34581881533101044,0.13937282229965156,0.028745644599303136,0.2735191637630662,0.06968641114982578,0.1132404181184669,0.029616724738675958,male
BR00115,0.3463687150837989,0.13966480446927373,0.027932960893854747,0.2737430167597765,0.07262569832402235,0.11173184357541899,0.027932960893854747,male
BR00116,0.34615384615384615,0.1390532544378698,0.029585798816568046,0.27218934911242604,0.07100591715976332,0.11242603550295859,0.029585798816568046,male
BR00117,0.34602649006622516,0.1390728476821192,0.028973509933774833,0.2731788079470199,0.0695364238410596,0.11341059602649006,0.029801324503311258,male
CT00001,0.3465160075329567,0.1393596986817326,0.02824858757062147,0.2730696798493409,0.0696798493408663,0.11299435028248588,0.030131826741996232,male
CT00002,0.34772182254196643,0.13908872901678657,0.02877697841726619,0.2733812949640288,0.06954436450839328,0.11270983213429256,0.02877697841726619,male
CT00003,0.34538653366583544,0.1396508728179551,0.028678304239401497,0.2730673316708229,0.06982543640897755,0.11346633416458853,0.029925187032418952,male
CT00004,0.34594739667203434,0.1392914653784219,0.02871712292002147,0.273215244229737,0.06977992485238863,0.11325818572195384,0.029790660225442835,male
CT00005,0.34558823529411764,0.13970588235294118,0.029411764705882353,0.27205882352941174,0.06985294117647059,0.11397058823529412,0.029411764705882353,male
CT00006,0.3470031545741325,0.138801261829653,0.028391167192429023,0.2744479495268139,0.0694006309148265,0.11356466876971609,0.028391167192429023,male
CT00007,0.3460207612456747,0.14013840830449828,0.029411764705882353,0.27335640138408307,0.06920415224913495,0.11245674740484429,0.029411764705882353,male
CT00008,0.34593837535014005,0.13935574229691877,0.028711484593837534,0.27310924369747897,0.0700280112044818,0.1134453781512605,0.029411764705882353,male
CT00009,0.34602757715036114,0.139198949441891,0.028890347997373604,0.273145108338805,0.0695994747209455,0.11359159553512804,0.02954694681549573,male
CT00010,0.34602829162132753,0.13928182807399347,0.02883569096844396,0.2731229597388466,0.06964091403699674,0.11316648531011969,0.029923830250272034,male
CT00011,0.3444976076555024,0.13875598086124402,0.028708133971291867,0.2727272727272727,0.07177033492822966,0.11483253588516747,0.028708133971291867,male
CT00012,0.345679012345679,0.1382716049382716,0.02962962962962963,0.2740740740740741,0.0691358024691358,0.11358024691358025,0.02962962962962963,male
CT00013,0.34560906515580736,0.14022662889518414,0.028328611898016998,0.273371104815864,0.06940509915014165,0.11331444759206799,0.029745042492917848,male
CT00014,0.3458874458874459,0.1393939393939394,0.02857142857142857,0.27316017316017316,0.0696969696969697,0.11341991341991342,0.02987012987012987,male
CT00015,0.34759358288770054,0.13903743315508021,0.029411764705882353,0.2727272727272727,0.06951871657754011,0.11229946524064172,0.029411764705882353,male
CT00016,0.345580404685836,0.1395101171458999,0.02875399361022364,0.2731629392971246,0.06975505857294995,0.1134185303514377,0.029818956336528223,male
CT00017,0.34615384615384615,0.1390532544378698,0.028106508875739646,0.27366863905325445,0.0695266272189349,0.11390532544378698,0.029585798816568046,male
CT00018,0.3457875457875458,0.1391941391941392,0.02857142857142857,0.27326007326007323,0.0695970695970696,0.11355311355311355,0.030036630036630037,male
CT00019,0.34576271186440677,0.13898305084745763,0.02711864406779661,0.2745762711864407,0.0711864406779661,0.11186440677966102,0.030508474576271188,male
CT00020,0.3458333333333333,0.1394607843137255,0.028676470588235293,0.27328431372549017,0.06985294117647059,0.11323529411764706,0.029656862745098038,male
CT00021,0.34615384615384615,0.1390532544378698,0.028599605522682446,0.27317554240631164,0.07001972386587771,0.11341222879684418,0.029585798816568046,male
CT00022,0.34560906515580736,0.14022662889518414,0.028328611898016998,0.273371104815864,0.06940509915014165,0.11331444759206799,0.029745042492917848,male
CT00023,0.34599504541701076,0.13955408753096615,0.028901734104046242,0.27332782824112306,0.06936416184971098,0.11312964492155243,0.02972749793559042,male
CT00024,0.3456678700361011,0.13898916967509026,0.02888086642599278,0.27346570397111913,0.06949458483754513,0.11371841155234658,0.029783393501805054,male
CT00025,0.3472222222222222,0.1388888888888889,0.027777777777777776,0.2743055555555556,0.06944444444444445,0.11284722222222222,0.029513888888888888,male
CT00026,0.3458844133099825,0.13922942206654992,0.028896672504378284,0.2732049036777583,0.07005253940455342,0.11295971978984239,0.0297723292469352,male
CT00028,0.345707656612529,0.13954259197878688,0.028505137553861453,0.273118992376533,0.06993702353331123,0.11335764003977461,0.029830957905203844,male
CT00029,0.34579439252336447,0.13960280373831777,0.028621495327102803,0.2733644859813084,0.06950934579439252,0.1133177570093458,0.029789719626168224,male
CT00030,0.3459154929577465,0.13915492957746478,0.02873239436619718,0.27323943661971833,0.06985915492957746,0.1132394366197183,0.029859154929577466,male
CT00031,0.3463917525773196,0.1402061855670103,0.0288659793814433,0.2721649484536082,0.07010309278350516,0.1134020618556701,0.0288659793814433,male
CT00032,0.34593572778827975,0.13988657844990549,0.02835538752362949,0.2731568998109641,0.06994328922495274,0.11342155009451796,0.02930056710775047,male
CT00033,0.34603930911256703,0.13936867182846932,0.02858844550327576,0.2733770101250744,0.06968433591423466,0.11316259678379988,0.029779630732578916,male
CT00034,0.3459522422830518,0.13948747815958065,0.028538147932440302,0.27315084449621435,0.06988934187536401,0.11327897495631917,0.0297029702970297,male
CT00035,0.3464765100671141,0.13926174496644295,0.028523489932885907,0.27348993288590606,0.06963087248322147,0.11325503355704698,0.02936241610738255,male
CT00036,0.3458411507191995,0.13946216385240776,0.028767979987492184,0.27329580988117574,0.07004377736085053,0.1131957473420888,0.029393370856785492,male
CT00037,0.346072186836518,0.13906581740976645,0.028662420382165606,0.27282377919320594,0.07006369426751592,0.11358811040339703,0.029723991507430998,male
CT00038,0.34622823984526113,0.13926499032882012,0.028368794326241134,0.2733720180528691,0.06963249516441006,0.11347517730496454,0.029658284977433915,male
CT00039,0.3459764223475141,0.13941568426447976,0.028703229113275244,0.2731932342388519,0.06970784213223988,0.1132752434648898,0.02972834443874936,male
CT00040,0.345531914893617,0.13957446808510637,0.02893617021276596,0.2731914893617021,0.06978723404255319,0.11319148936170213,0.029787234042553193,male
CT00041,0.34537725823591925,0.1392136025504782,0.028692879914984058,0.2731137088204038,0.07013815090329437,0.11370882040382571,0.02975557917109458,male
CT00042,0.3458856345885635,0.1394700139470014,0.029288702928870293,0.2733612273361227,0.0697350069735007,0.11297071129707113,0.029288702928870293,male
CT00043,0.34593023255813954,0.13953488372093023,0.028343023255813952,0.27325581395348836,0.06976744186046512,0.11337209302325581,0.029796511627906978,male
